,identificador,ssoo,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,0,1,Predict,Y
3655,51406u,0,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,9,131,44,222.444444444,0.0,0.0,6.0,216.444444444,1.0,0.0,0,0
3656,51416u,1,11.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,5,112,36,711.2,0.0,0.0,11.0,700.2,1.0,0.0,0,0
3657,51417u,0,10.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,6,105,32,279.0,0.0,0.0,10.0,269.0,1.0,0.0,0,0
3658,51444u,1,17.0,2,2,6.5,2.0,2.0,12.0,2.0,2.0,37,367,148,109.567567568,0.0,0.0,35.5,64.067567568,0.0,1.0,1,1
3659,51451u,1,21.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,5,107,35,148.8,0.0,0.0,21.0,127.8,1.0,0.0,0,0
3660,51467u,0,16.8,5,4,10.75,4.0,4.0,13.3333333333,3.0,3.0,260,2118,946,239.311538462,0.0,0.0,40.8833333333,194.094871795,0.0,1.0,1,1
3661,51473u,1,2.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,87,827,264,230.666666667,0.0,0.0,2.5,228.166666667,1.0,0.0,0,0
3662,51481u,0,6.33333333333,3,2,5.5,2.0,2.0,9.5,2.0,2.0,34,491,225,161.294117647,0.0,0.0,21.3333333333,137.460784314,0.0,1.0,1,1
3663,51487u,1,15.2222222222,9,4,15.0,1.0,1.0,0.0,0.0,0.0,189,1839,680,252.825396825,0.0,0.0,30.2222222222,222.603174603,1.0,0.0,0,0
3664,51493u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,10,97,40,214.2,0.0,0.0,3.0,211.2,1.0,0.0,0,0
3665,51521u,0,31.0,1,1,7.0,1.0,1.0,12.6666666667,3.0,1.0,9,132,48,226.333333333,0.0,0.0,50.6666666667,169.666666666,0.1,0.9,1,1
3666,51542u,1,12.0,1,1,6.0,1.0,1.0,17.0,1.0,1.0,16,149,76,241.6875,0.0,0.0,35.0,191.6875,0.0,1.0,1,1
3667,51565u,1,22.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,49,565,207,251.0,0.0,0.0,22.0,229.0,1.0,0.0,0,0
