,identificador,Página,Promedio de tiempo en la página,Número de visitas a páginas,Número de visitas a páginas únicas
183,84181u,page1,34.0,1,1
184,58465u,page2,0.0,1,1
185,58465u,page3,0.0,1,1
186,58465u,page1,0.0,1,1
187,58465u,page4,0.0,1,1
188,113243u,page1,18.25,4,2
189,113243u,page3,13.0,2,1
190,113243u,page4,5.5,2,1
191,113243u,page2,3.0,2,1
192,299332u,page1,27.5,2,1
193,124992u,page1,20.0,1,1
194,124992u,page3,12.0,1,1
195,124992u,page4,11.0,1,1
196,124992u,page2,7.0,1,1
197,40700u,page1,12.6666666667,3,1
198,40700u,page2,11.0,1,1
199,84089u,page2,52.0,1,1
200,84089u,page1,9.0,3,1
201,232375u,page1,7.0,2,2
202,265518u,page3,14.0,1,1
203,265518u,page1,14.0,1,1
204,265518u,page4,5.0,1,1
205,265518u,page2,4.0,1,1
206,76843u,page1,6.0,1,1
207,234427u,page1,12.0,1,1
208,62760u,page4,54.3333333333,3,3
209,62760u,page3,18.0,3,3
210,62760u,page1,12.2272727273,22,9
211,62760u,page2,8.0,3,3
212,147750u,page1,14.0,1,1
213,258968u,page3,24.375,16,10
214,258968u,page1,17.125,16,11
215,258968u,page2,7.5,12,10
216,258968u,page4,7.11111111111,9,9
217,142184u,page1,5.0,2,2
218,2788u,page1,41.0,1,1
219,2788u,page3,15.0,1,1
220,2788u,page4,11.0,1,1
221,2788u,page2,5.0,1,1
222,86484u,page1,5.0,1,1
223,236051u,page1,13.0,2,2
224,236051u,page3,11.0,2,2
225,236051u,page2,10.0,2,2
226,236051u,page4,6.0,2,2
227,255200u,page1,20.0,2,1
228,255200u,page4,12.0,1,1
229,255200u,page3,10.0,1,1
230,255200u,page2,2.0,1,1
231,213890u,page1,34.0,1,1
232,125692u,page2,15.4375,16,8
233,125692u,page4,12.0,1,1
234,125692u,page3,11.0,1,1
235,125692u,page1,8.92307692308,26,8
236,182721u,page3,12.0,2,2
237,182721u,page1,10.0,2,2
