,identificador,Página,Promedio de tiempo en la página,Número de visitas a páginas,Número de visitas a páginas únicas
19520,155909u,page1,5.0,2,1
19521,57516u,page1,0.0,1,1
19522,13508u,page1,1.0,1,1
19523,44734u,page2,8.0,1,1
19524,44734u,page1,7.0,1,1
19525,35093u,page2,18.0,1,1
19526,35093u,page1,10.5,2,1
19527,54864u,page1,14.0,1,1
19528,45249u,page1,1.0,1,1
19529,80699u,page1,35.0,3,2
19530,33568u,page1,8.0,1,1
19531,199659u,page1,6.0,2,2
19532,267183u,page1,17.0,2,2
19533,97096u,page1,9.5,2,2
19534,97096u,page3,8.0,2,2
19535,97096u,page2,5.0,2,2
19536,97096u,page4,3.0,2,2
19537,209044u,page2,4.14285714286,7,5
19538,209044u,page3,4.0,4,3
19539,209044u,page1,3.9512195122,41,13
19540,166410u,page1,13.5,2,2
19541,166410u,page3,6.5,2,2
19542,166410u,page2,5.5,2,2
19543,166410u,page4,5.0,2,2
19544,269575u,page1,17.6666666667,3,3
19545,269575u,page4,16.0,3,3
19546,269575u,page3,13.0,3,3
19547,269575u,page2,4.33333333333,3,3
19548,231465u,page2,0.0,1,1
19549,231465u,page3,0.0,1,1
19550,231465u,page1,0.0,1,1
19551,231465u,page4,0.0,1,1
19552,173510u,page1,8.0,2,2
19553,173510u,page3,3.5,2,2
19554,173510u,page2,1.5,2,2
19555,173510u,page4,0.5,2,2
19556,168854u,page1,23.0,1,1
19557,38258u,page1,12.5,2,2
19558,14510u,page3,9.4,5,3
19559,14510u,page1,8.6,5,5
19560,14510u,page2,7.5,4,3
19561,14510u,page4,3.33333333333,3,3
19562,99673u,page1,11.5,2,2
19563,174034u,page1,5.0,1,1
19564,45955u,page1,231.0,3,2
19565,45955u,page3,17.0,2,2
19566,45955u,page2,10.3333333333,3,2
19567,45955u,page4,8.5,2,2
19568,102418u,page1,5.0,1,1
19569,102418u,page2,0.0,1,1
19570,135292u,page1,53.0,1,1
19571,176212u,page1,13.0,1,1
19572,137973u,page1,6.0,1,1
19573,96489u,page2,35.0,1,1
19574,96489u,page1,25.0,1,1
19575,96489u,page3,13.0,1,1
19576,96489u,page4,7.0,1,1
19577,118381u,page3,13.0,1,1
19578,118381u,page1,6.0,1,1
19579,118381u,page4,4.0,1,1
19580,118381u,page2,3.0,1,1
19581,136748u,page3,12.0,2,2
19582,136748u,page1,11.0,2,2
19583,136748u,page2,3.5,2,2
19584,136748u,page4,2.0,2,2
19585,153182u,page3,11.0,2,2
19586,153182u,page1,7.0,2,2
19587,153182u,page4,4.5,2,2
19588,153182u,page2,2.0,2,2
19589,278821u,page1,9.8,5,4
19590,278821u,page3,8.66666666667,3,3
19591,278821u,page4,3.33333333333,3,3
19592,278821u,page2,2.33333333333,3,3
19593,225607u,page1,17.0,1,1
19594,225607u,page4,15.0,1,1
19595,225607u,page3,13.0,1,1
19596,225607u,page2,7.0,1,1
19597,133988u,page3,10.0,1,1
19598,133988u,page4,9.0,1,1
19599,133988u,page1,7.0,2,1
19600,133988u,page2,4.0,1,1
19601,15621u,page1,57.0,1,1
19602,129575u,page1,12.6666666667,3,2
19603,41696u,page2,16.0,2,1
19604,41696u,page1,7.0,3,1
19605,90013u,page1,9.0,1,1
19606,68412u,page3,13.3333333333,3,3
19607,68412u,page1,9.33333333333,3,3
19608,68412u,page4,5.66666666667,3,3
19609,68412u,page2,2.33333333333,3,3
19610,20657u,page1,27.0,2,2
19611,20657u,page2,12.3333333333,3,2
19612,51299u,page1,10.0,1,1
19613,222173u,page3,12.3333333333,3,2
19614,222173u,page1,8.0,4,2
19615,222173u,page2,7.0,3,2
19616,222173u,page4,6.5,2,2
19617,5892u,page1,3.0,1,1
19618,151959u,page1,8.5,2,2
19619,72179u,page1,12.3333333333,3,2
19620,72179u,page3,10.3333333333,3,2
19621,72179u,page2,5.0,3,2
19622,72179u,page4,4.5,2,2
19623,163506u,page3,10.0,1,1
19624,163506u,page1,10.0,1,1
19625,163506u,page4,6.0,1,1
19626,163506u,page2,4.0,1,1
19627,141804u,page1,8.0,1,1
19628,141804u,page3,7.0,1,1
19629,141804u,page2,5.0,1,1
19630,141804u,page4,4.0,1,1
19631,165651u,page1,136.0,3,3
19632,165651u,page3,21.0,2,2
19633,165651u,page4,3.5,2,2
19634,165651u,page2,2.5,2,2
19635,212257u,page1,9.5,2,1
19636,249977u,page1,5.5,2,2
19637,256750u,page3,11.0,2,2
19638,256750u,page1,11.0,2,2
19639,256750u,page4,7.0,2,2
19640,256750u,page2,4.0,2,2
19641,77319u,page1,4.42857142857,8,6
19642,46674u,page1,3.0,1,1
19643,16972u,page1,16.6666666667,3,2
19644,16972u,page3,11.5,2,1
19645,16972u,page2,7.0,1,1
19646,144087u,page3,28.0,2,2
19647,144087u,page1,15.5,2,2
19648,144087u,page2,5.5,2,2
19649,144087u,page4,4.5,2,2
19650,240098u,page1,17.8,5,4
19651,240098u,page2,10.0,3,3
19652,240098u,page4,7.5,2,2
19653,240098u,page3,7.0,2,2
19654,252812u,page3,90.0,1,1
19655,252812u,page1,25.0,2,2
19656,252812u,page4,21.0,1,1
19657,252812u,page2,6.0,1,1
19658,15603u,page1,7.0,1,1
19659,143499u,page4,54.7142857143,7,6
19660,143499u,page1,33.25,8,7
19661,143499u,page3,12.2222222222,9,7
19662,143499u,page2,3.75,8,7
19663,130050u,page1,21.0,1,1
19664,130050u,page3,9.0,1,1
19665,130050u,page4,6.0,1,1
19666,130050u,page2,5.0,1,1
19667,102585u,page1,8.0,1,1
19668,255147u,page1,24.0,1,1
19669,52414u,page2,13.0,2,1
19670,52414u,page1,5.66666666667,3,1
19671,53609u,page1,47.0,1,1
19672,254999u,page1,20.0,1,1
19673,28501u,page1,4.0,1,1
19674,206904u,page1,10.0,1,1
19675,272467u,page4,20.0,1,1
19676,272467u,page1,9.0,1,1
19677,272467u,page3,8.0,1,1
19678,272467u,page2,2.0,1,1
19679,199619u,page3,11.0,1,1
19680,199619u,page1,8.0,1,1
19681,199619u,page2,7.0,1,1
19682,199619u,page4,4.0,1,1
19683,69204u,page1,13.0,1,1
19684,27225u,page1,53.5,4,4
19685,27225u,page3,33.5,4,4
19686,27225u,page2,9.5,4,4
19687,27225u,page4,5.0,4,4
19688,161382u,page1,4.33333333333,3,3
19689,103324u,page3,52.6666666667,3,2
19690,103324u,page1,28.8461538462,13,5
19691,103324u,page2,26.75,4,3
19692,103324u,page4,16.0,1,1
19693,255698u,page1,13.75,4,1
19694,255698u,page2,13.5,2,1
19695,55034u,page1,10.0,1,1
19696,252949u,page3,25.0,1,1
19697,252949u,page4,24.0,1,1
19698,252949u,page1,20.0,3,1
19699,252949u,page2,10.0,1,1
19700,290186u,page1,87.0,1,1
19701,290186u,page3,14.0,1,1
19702,290186u,page4,5.0,1,1
19703,290186u,page2,4.0,1,1
19704,168434u,page1,18.0,3,3
19705,168434u,page2,9.0,1,1
19706,114672u,page3,17.0,1,1
19707,114672u,page1,11.0,1,1
19708,114672u,page4,6.0,1,1
19709,114672u,page2,3.0,1,1
19710,105278u,page3,13.0,1,1
19711,105278u,page4,7.0,1,1
19712,105278u,page1,5.0,1,1
19713,105278u,page2,2.0,1,1
19714,129428u,page1,36.5,2,2
19715,129428u,page3,19.0,2,2
19716,129428u,page2,8.0,2,2
19717,129428u,page4,6.5,2,2
19718,173729u,page3,23.5,2,2
19719,173729u,page1,14.6666666667,3,2
19720,173729u,page2,6.33333333333,3,2
19721,173729u,page4,5.5,2,2
19722,35855u,page1,27.5,2,1
19723,35855u,page2,14.0,1,1
19724,35855u,page3,12.0,1,1
19725,54492u,page1,2.72727272727,11,7
19726,295485u,page3,28.6666666667,3,2
19727,295485u,page1,27.0,3,3
19728,295485u,page2,16.0,2,2
19729,295485u,page4,14.5,2,2
19730,241335u,page1,14.0,1,1
19731,204633u,page1,40.0,1,1
19732,181439u,page1,4.0,1,1
19733,256468u,page1,4.0,1,1
19734,247093u,page2,11.0,1,1
19735,247093u,page1,10.0,1,1
19736,183807u,page1,27.0,1,1
19737,183807u,page3,13.0,1,1
19738,183807u,page4,11.0,1,1
19739,183807u,page2,9.0,1,1
19740,299862u,page1,5.0,1,1
19741,137160u,page1,15.0,1,1
19742,135059u,page1,23.0,1,1
19743,239074u,page1,0.0,1,1
19744,286772u,page1,17.0,1,1
19745,101914u,page2,15.0,1,1
19746,101914u,page1,10.0,2,1
19747,151773u,page1,9.0,1,1
19748,36087u,page1,9.0,1,1
19749,240839u,page1,26.0,2,1
19750,240839u,page2,22.0,1,1
19751,235131u,page1,13.0,4,3
19752,235131u,page3,10.0,1,1
19753,235131u,page4,5.0,1,1
19754,235131u,page2,3.0,2,2
19755,108297u,page1,4.5,2,2
19756,236364u,page1,38.0,1,1
19757,95792u,page3,37.0,2,2
19758,95792u,page1,12.375,8,3
19759,95792u,page2,12.1666666667,6,3
19760,95792u,page4,8.5,2,2
19761,249095u,page2,86.0,2,1
19762,249095u,page1,17.75,4,1
19763,199331u,page1,3.0,1,1
19764,253396u,page1,10.0,1,1
19765,298411u,page1,5.0,3,3
19766,156783u,page1,20.0,1,1
19767,156783u,page3,7.0,1,1
19768,156783u,page2,3.0,1,1
19769,156783u,page4,3.0,1,1
19770,63196u,page3,10.0,1,1
19771,63196u,page1,6.0,1,1
19772,63196u,page4,6.0,1,1
19773,63196u,page2,4.0,1,1
19774,82788u,page3,11.0,1,1
19775,82788u,page1,8.0,1,1
19776,82788u,page4,3.0,1,1
19777,82788u,page2,1.0,1,1
19778,218576u,page1,8.0,1,1
19779,218576u,page3,7.0,1,1
19780,218576u,page4,5.0,1,1
19781,218576u,page2,3.0,1,1
19782,159697u,page1,0.0,2,1
19783,96990u,page1,12.5,2,2
19784,96990u,page3,7.0,2,2
19785,96990u,page4,4.0,2,2
19786,96990u,page2,3.5,2,2
19787,234979u,page1,18.0,1,1
19788,234979u,page3,10.0,1,1
19789,234979u,page4,6.0,1,1
19790,234979u,page2,3.0,1,1
19791,81386u,page1,19.0,1,1
19792,53434u,page2,17.5,4,3
19793,53434u,page1,11.5,4,3
19794,189653u,page1,31.0,2,1
19795,16329u,page3,14.0,1,1
19796,16329u,page1,9.0,1,1
19797,16329u,page4,3.0,1,1
19798,16329u,page2,2.0,1,1
19799,61090u,page1,2.0,1,1
19800,512u,page1,4.0,2,1
19801,205263u,page1,18.0,1,1
19802,205263u,page3,11.0,1,1
19803,205263u,page2,5.0,1,1
19804,205263u,page4,3.0,1,1
19805,90159u,page1,11.0,1,1
19806,287003u,page1,22.0,1,1
19807,72593u,page1,12.0,1,1
19808,72593u,page3,9.0,1,1
19809,72593u,page4,3.0,1,1
19810,72593u,page2,2.0,1,1
19811,254081u,page1,23.0,1,1
19812,276536u,page1,12.0,2,2
19813,276536u,page3,10.5,2,2
19814,276536u,page2,4.0,2,2
19815,276536u,page4,3.0,2,2
19816,58063u,page3,9.0,2,2
19817,58063u,page1,7.5,2,2
19818,58063u,page4,4.5,2,2
19819,58063u,page2,3.5,2,2
19820,113358u,page1,53.0,2,2
19821,113358u,page3,20.0,2,2
19822,113358u,page4,15.5,2,2
19823,113358u,page2,11.0,2,2
19824,82068u,page1,15.0,1,1
19825,125327u,page3,41.5,2,2
19826,125327u,page1,14.0,2,2
19827,125327u,page4,12.0,2,2
19828,125327u,page2,6.0,2,2
19829,180470u,page1,5.33333333333,3,2
19830,189005u,page1,14.0,1,1
19831,213717u,page3,15.0,1,1
19832,213717u,page1,15.0,1,1
19833,213717u,page4,7.0,1,1
19834,213717u,page2,3.0,1,1
19835,65019u,page1,13.0,2,2
19836,65019u,page4,11.0,2,2
19837,65019u,page3,9.5,2,2
19838,65019u,page2,4.0,2,2
19839,141198u,page1,70.0,5,2
19840,141198u,page4,14.5,2,2
19841,141198u,page3,7.33333333333,3,2
19842,141198u,page2,7.0,3,2
19843,87593u,page1,26.0,1,1
19844,87593u,page3,21.0,1,1
19845,87593u,page2,10.0,1,1
19846,87593u,page4,9.0,1,1
19847,93545u,page2,229.0,1,1
19848,93545u,page1,32.5,2,2
19849,93545u,page3,12.0,1,1
19850,93545u,page4,8.0,1,1
19851,40752u,page1,7.0,1,1
19852,289562u,page2,31.5,2,1
19853,289562u,page1,15.0,1,1
19854,289562u,page3,9.0,1,1
19855,289562u,page4,4.0,1,1
19856,262813u,page1,28.8333333333,6,2
19857,262813u,page4,12.0,1,1
19858,262813u,page2,11.6666666667,3,1
19859,262813u,page3,10.0,1,1
19860,35590u,page1,35.5,2,1
19861,35590u,page3,15.0,1,1
19862,35590u,page4,8.0,1,1
19863,35590u,page2,7.0,1,1
19864,14418u,page2,12.0,1,1
19865,14418u,page1,4.5,2,1
19866,16956u,page1,23.0,1,1
19867,132578u,page1,11.0,1,1
19868,163019u,page1,14.5,2,2
19869,154080u,page1,12.0,1,1
19870,57846u,page2,23.0,2,2
19871,57846u,page3,10.0,1,1
19872,57846u,page1,9.57142857143,7,6
19873,57846u,page4,5.0,1,1
19874,127623u,page1,5.5,2,1
19875,127623u,page2,5.0,1,1
19876,256255u,page2,20.0,4,1
19877,256255u,page1,14.2,5,1
19878,203814u,page2,8.75,4,1
19879,203814u,page1,6.0,6,1
19880,30089u,page1,0.0,1,1
19881,195842u,page1,9.0,1,1
19882,196847u,page1,5.5,2,2
19883,165885u,page1,26.0,2,2
19884,165885u,page3,16.0,2,2
19885,165885u,page4,8.5,2,2
19886,165885u,page2,6.0,2,2
19887,210444u,page1,35.0,2,2
19888,210444u,page4,9.0,2,2
19889,210444u,page2,8.0,2,2
19890,210444u,page3,7.0,2,2
19891,164275u,page3,7.83333333333,6,5
19892,164275u,page1,7.28571428571,7,6
19893,164275u,page4,2.75,6,5
19894,164275u,page2,2.16666666667,7,6
19895,247922u,page1,14.0,2,2
19896,188945u,page1,64.0,1,1
19897,188945u,page3,9.0,1,1
19898,188945u,page4,8.0,1,1
19899,188945u,page2,3.0,1,1
19900,78083u,page3,11.0,1,1
19901,78083u,page1,7.0,1,1
19902,78083u,page4,5.0,1,1
19903,78083u,page2,2.0,1,1
19904,3611u,page1,4.0,1,1
19905,69354u,page1,41.0,1,1
19906,50530u,page1,26.0,1,1
19907,50530u,page3,17.0,1,1
19908,50530u,page4,9.0,1,1
19909,50530u,page2,7.0,1,1
19910,57456u,page1,6.2,5,3
19911,103702u,page1,4.0,1,1
19912,133143u,page2,24.0,1,1
19913,133143u,page1,6.25,4,3
19914,24556u,page1,11.0,1,1
19915,267414u,page1,74.0,1,1
19916,138597u,page4,8.14285714286,7,2
19917,138597u,page3,7.14285714286,7,2
19918,138597u,page2,5.25,8,2
19919,138597u,page1,4.81818181818,11,3
19920,16536u,page1,41.0,1,1
19921,16536u,page2,7.0,1,1
19922,265032u,page3,29.0,1,1
19923,265032u,page4,10.0,1,1
19924,265032u,page1,8.0,1,1
19925,265032u,page2,4.0,1,1
19926,84341u,page1,9.2,5,5
19927,84341u,page3,7.8,5,5
19928,84341u,page4,4.0,5,5
19929,84341u,page2,2.4,5,5
19930,54836u,page3,12.75,4,4
19931,54836u,page2,7.5,4,4
19932,54836u,page1,7.0,4,4
19933,54836u,page4,6.25,4,4
19934,52233u,page1,13.75,4,4
19935,52233u,page3,8.66666666667,3,3
19936,52233u,page4,4.0,3,3
19937,52233u,page2,3.0,3,3
19938,228571u,page3,7.0,1,1
19939,228571u,page1,6.0,1,1
19940,228571u,page4,6.0,1,1
19941,228571u,page2,3.0,1,1
19942,44977u,page1,6.0,1,1
19943,247384u,page2,19.0,1,1
19944,247384u,page1,17.0,2,1
19945,282792u,page2,10.0,1,1
19946,282792u,page1,4.0,2,1
19947,77866u,page1,3.0,1,1
19948,109363u,page1,19.0,1,1
19949,109363u,page3,18.0,2,1
19950,109363u,page2,6.0,1,1
19951,109363u,page4,5.0,1,1
19952,186556u,page1,7.0,1,1
19953,32205u,page3,2.0,1,1
19954,32205u,page2,0.0,1,1
19955,32205u,page1,0.0,1,1
19956,32205u,page4,0.0,1,1
19957,20398u,page1,4.0,1,1
19958,61911u,page1,9.8,12,11
19959,103401u,page3,42.0,1,1
19960,103401u,page4,9.0,1,1
19961,103401u,page1,4.5,2,2
19962,103401u,page2,4.0,1,1
19963,56933u,page1,11.0,1,1
19964,228304u,page1,4.0,2,2
19965,295753u,page1,3.0,1,1
19966,244801u,page3,10.5,2,2
19967,244801u,page1,7.5,3,3
19968,244801u,page4,5.0,2,2
19969,244801u,page2,3.5,2,2
19970,7704u,page1,3.0,1,1
19971,98648u,page3,9.0,1,1
19972,98648u,page1,6.66666666667,3,2
19973,98648u,page2,3.0,1,1
19974,98648u,page4,2.0,1,1
19975,134047u,page2,19.0,2,2
19976,134047u,page3,14.0,1,1
19977,134047u,page1,11.5,4,2
19978,134047u,page4,7.0,1,1
19979,294292u,page1,3.0,1,1
19980,249593u,page1,17.0,1,1
19981,249593u,page3,8.0,1,1
19982,249593u,page2,4.0,1,1
19983,249593u,page4,4.0,1,1
19984,17760u,page1,19.0,2,2
19985,17760u,page3,13.0,2,2
19986,17760u,page4,9.5,2,2
19987,17760u,page2,6.5,2,2
19988,98666u,page1,165.75,8,4
19989,98666u,page2,20.0,1,1
19990,136395u,page1,6.0,1,1
19991,119145u,page1,6.0,1,1
19992,188739u,page1,17.0,1,1
19993,44724u,page2,23.0,2,1
19994,44724u,page3,17.0,1,1
19995,44724u,page1,11.25,4,3
19996,44724u,page4,8.0,1,1
19997,42697u,page1,5.36363636364,11,8
19998,154933u,page1,2.0,1,1
19999,225067u,page1,14.0,1,1
20000,186463u,page1,27.0,1,1
20001,101670u,page3,31.0,1,1
20002,101670u,page1,24.0,1,1
20003,101670u,page4,6.0,1,1
20004,101670u,page2,3.0,1,1
20005,166556u,page3,40.25,4,3
20006,166556u,page1,28.8333333333,6,5
20007,166556u,page2,7.33333333333,3,3
20008,166556u,page4,6.0,3,3
20009,67869u,page1,16.0,1,1
20010,132453u,page1,10.0,1,1
20011,132453u,page4,10.0,1,1
20012,132453u,page3,9.0,1,1
20013,132453u,page2,6.0,1,1
20014,54388u,page3,17.0,1,1
20015,54388u,page2,6.5,2,1
20016,54388u,page1,6.0,2,1
20017,54388u,page4,5.0,1,1
20018,34647u,page1,19.0,1,1
20019,242154u,page1,23.0,2,1
20020,242154u,page3,14.0,2,1
20021,242154u,page2,11.0,2,1
20022,242154u,page4,8.0,1,1
20023,234304u,page1,3.0,1,1
20024,145102u,page2,33.25,4,1
20025,145102u,page1,15.0,8,2
20026,279065u,page2,7.66666666667,3,2
20027,279065u,page1,6.44444444444,9,5
20028,199148u,page1,1.0,1,1
20029,81040u,page1,15.5,4,2
20030,81040u,page3,14.0,1,1
20031,81040u,page4,8.0,1,1
20032,81040u,page2,2.0,1,1
20033,171141u,page1,5.25,4,2
20034,154723u,page3,17.0,1,1
20035,154723u,page1,8.0,1,1
20036,154723u,page2,2.0,1,1
20037,129881u,page1,4.0,1,1
20038,123330u,page1,12.0,2,1
20039,41586u,page1,4.0,1,1
20040,270263u,page1,31.0,1,1
20041,270263u,page3,8.0,1,1
20042,270263u,page4,3.0,1,1
20043,270263u,page2,1.0,1,1
20044,80086u,page1,15.0,2,2
20045,80086u,page4,11.0,1,1
20046,80086u,page2,8.0,1,1
20047,80086u,page3,8.0,1,1
20048,225435u,page3,34.0,5,4
20049,225435u,page1,25.4,5,4
20050,225435u,page4,11.5,4,4
20051,225435u,page2,10.75,4,4
20052,206691u,page1,11.0,1,1
20053,206691u,page3,9.0,3,1
20054,206691u,page2,8.0,1,1
20055,206691u,page4,5.0,1,1
20056,279919u,page1,12.1666666667,6,3
20057,113200u,page1,12.0,1,1
20058,113200u,page3,10.0,1,1
20059,113200u,page4,4.0,1,1
20060,113200u,page2,2.0,1,1
20061,10212u,page1,10.0,1,1
20062,10212u,page3,6.0,1,1
20063,10212u,page2,5.0,1,1
20064,10212u,page4,2.0,1,1
20065,114255u,page3,10.0,1,1
20066,114255u,page1,5.0,1,1
20067,114255u,page4,5.0,1,1
20068,114255u,page2,4.0,1,1
20069,61935u,page1,2.0,1,1
20070,57538u,page1,1.0,1,1
20071,150721u,page1,16.0,1,1
20072,56551u,page1,10.3333333333,3,3
20073,56551u,page3,7.0,3,3
20074,56551u,page4,4.66666666667,3,3
20075,56551u,page2,4.0,3,3
20076,55179u,page1,24.0,2,1
20077,164824u,page3,58.0,1,1
20078,164824u,page2,4.5,2,2
20079,164824u,page1,3.0,4,2
20080,169209u,page1,19.0,2,1
20081,169209u,page3,14.0,1,1
20082,169209u,page2,6.0,1,1
20083,169209u,page4,3.0,1,1
20084,263031u,page1,15.0,1,1
20085,43071u,page1,25.5,2,2
20086,43071u,page3,9.0,1,1
20087,43071u,page4,3.0,1,1
20088,43071u,page2,2.0,1,1
20089,178283u,page1,4.0,1,1
20090,272918u,page1,19.5,4,1
20091,272918u,page3,13.0,1,1
20092,272918u,page2,3.0,1,1
20093,272918u,page4,2.0,1,1
20094,111875u,page3,64.0,1,1
20095,111875u,page1,49.0,2,1
20096,111875u,page2,20.0,1,1
20097,127094u,page1,14.4,10,8
20098,127094u,page3,7.6,5,5
20099,127094u,page2,2.8,5,5
20100,127094u,page4,2.0,5,5
20101,267911u,page1,8.0,2,1
20102,205718u,page3,11.0,1,1
20103,205718u,page1,8.0,1,1
20104,205718u,page2,5.0,1,1
20105,205718u,page4,4.0,1,1
20106,12963u,page2,10.0,4,3
20107,12963u,page3,8.0,1,1
20108,12963u,page1,6.14285714286,7,3
20109,12963u,page4,5.0,1,1
20110,116304u,page1,18.5,2,1
20111,166869u,page2,30.0,1,1
20112,166869u,page1,21.6666666667,3,1
20113,235578u,page3,53.5,2,1
20114,235578u,page1,21.0,2,1
20115,235578u,page2,9.0,1,1
20116,187692u,page1,8.0,1,1
20117,159951u,page1,5.25,4,2
20118,51697u,page3,13.5,2,2
20119,51697u,page1,11.0,2,2
20120,51697u,page4,8.5,2,2
20121,51697u,page2,3.0,2,2
20122,156839u,page1,12.0,3,2
20123,156839u,page3,9.0,2,2
20124,156839u,page2,6.0,3,2
20125,156839u,page4,5.0,2,2
20126,182940u,page1,7.0,2,2
20127,182940u,page2,4.66666666667,3,2
20128,182940u,page3,4.0,2,2
20129,182940u,page4,1.0,2,2
20130,30144u,page1,0.0,1,1
20131,208778u,page1,23.0,1,1
20132,208778u,page2,9.0,1,1
20133,208778u,page3,8.0,1,1
20134,208778u,page4,7.0,1,1
20135,41049u,page3,9.0,1,1
20136,41049u,page1,7.0,1,1
20137,41049u,page2,2.0,1,1
20138,41049u,page4,0.0,1,1
20139,81136u,page1,2.0,1,1
20140,84618u,page1,17.0,1,1
20141,84618u,page3,10.0,1,1
20142,84618u,page2,4.0,1,1
20143,84618u,page4,4.0,1,1
20144,47863u,page1,3.0,1,1
20145,111679u,page1,2.0,2,1
20146,48769u,page3,18.3333333333,3,3
20147,48769u,page1,6.0,4,4
20148,48769u,page4,4.0,3,3
20149,48769u,page2,3.33333333333,3,3
20150,159605u,page2,18.0,1,1
20151,159605u,page1,18.0,1,1
20152,159605u,page3,8.0,1,1
20153,159605u,page4,3.0,1,1
20154,204967u,page1,15.0,1,1
20155,287173u,page1,10.2,5,5
20156,164027u,page1,9.0,1,1
20157,9481u,page3,21.8888888889,9,6
20158,9481u,page4,20.2857142857,7,6
20159,9481u,page1,16.1875,16,10
20160,9481u,page2,10.5454545455,11,9
20161,220885u,page1,24.6666666667,3,3
20162,220885u,page4,11.5,2,2
20163,220885u,page3,10.5,4,2
20164,220885u,page2,2.5,2,2
20165,116023u,page1,19.0,2,2
20166,104048u,page1,24.0,1,1
20167,104048u,page2,21.0,1,1
20168,104048u,page4,17.0,1,1
20169,104048u,page3,9.0,1,1
20170,299213u,page1,33.0,1,1
20171,66896u,page3,12.0,1,1
20172,66896u,page4,10.0,1,1
20173,66896u,page2,8.0,2,2
20174,66896u,page1,5.1,20,16
20175,19168u,page3,8.0,2,2
20176,19168u,page2,7.5,2,2
20177,19168u,page1,7.0,1,1
20178,19168u,page4,6.5,2,2
20179,266650u,page3,2.0,1,1
20180,266650u,page1,1.0,1,1
20181,266650u,page2,0.0,1,1
20182,266650u,page4,0.0,1,1
20183,4889u,page3,9.5,2,2
20184,4889u,page1,6.0,4,2
20185,4889u,page2,4.66666666667,3,2
20186,4889u,page4,3.5,2,2
20187,264641u,page3,15.5,2,2
20188,264641u,page1,15.5,2,2
20189,264641u,page4,5.0,2,2
20190,264641u,page2,2.5,2,2
20191,195293u,page1,20.0,1,1
20192,129902u,page1,1.75,4,2
20193,58699u,page3,35.3333333333,3,1
20194,58699u,page2,27.0,2,2
20195,58699u,page1,6.6,5,3
20196,134546u,page1,12.0,1,1
20197,124565u,page1,11.0,1,1
20198,163764u,page1,27.0,2,2
20199,134707u,page4,12.0,1,1
20200,134707u,page3,7.0,1,1
20201,134707u,page1,7.0,1,1
20202,134707u,page2,2.0,1,1
20203,38589u,page3,13.0,1,1
20204,38589u,page4,10.0,1,1
20205,38589u,page1,8.0,1,1
20206,38589u,page2,5.0,1,1
20207,239990u,page1,11.0,1,1
20208,239990u,page3,8.0,1,1
20209,239990u,page2,6.0,1,1
20210,239990u,page4,4.0,1,1
20211,247883u,page2,14.4,5,5
20212,247883u,page3,14.25,4,4
20213,247883u,page1,9.88888888889,9,6
20214,247883u,page4,6.25,4,4
20215,180237u,page1,16.6666666667,3,2
20216,180237u,page3,16.0,4,2
20217,180237u,page4,7.0,1,1
20218,180237u,page2,4.0,2,2
20219,251501u,page1,2.0,1,1
20220,227019u,page1,32.0,1,1
20221,136455u,page1,2.0,1,1
20222,98704u,page1,4.0,1,1
20223,32484u,page3,10.8333333333,6,6
20224,32484u,page1,8.0,8,8
20225,32484u,page4,5.66666666667,6,6
20226,32484u,page2,5.33333333333,6,6
20227,17316u,page1,15.2,5,4
20228,17316u,page3,6.0,4,4
20229,17316u,page2,2.25,4,4
20230,17316u,page4,2.0,3,3
20231,210885u,page3,13.1428571429,14,7
20232,210885u,page1,9.11111111111,9,9
20233,210885u,page2,2.875,8,7
20234,210885u,page4,2.85714285714,7,7
20235,215451u,page3,13.5,4,3
20236,215451u,page1,11.2,5,4
20237,215451u,page4,6.75,4,3
20238,215451u,page2,4.25,4,3
20239,228397u,page3,23.0,2,1
20240,228397u,page1,14.6666666667,6,1
20241,228397u,page2,6.5,2,1
20242,269782u,page1,2.4,5,5
20243,208884u,page1,39.0,2,1
20244,185463u,page2,23.0,2,1
20245,185463u,page1,10.25,4,2
20246,226263u,page1,9.0,2,2
20247,131288u,page3,9.0,1,1
20248,131288u,page1,9.0,1,1
20249,131288u,page2,5.0,1,1
20250,131288u,page4,4.0,1,1
20251,251194u,page1,2.75,8,6
20252,143395u,page3,85.0,2,1
20253,143395u,page4,28.0,1,1
20254,143395u,page1,13.5,2,1
20255,143395u,page2,4.5,2,1
20256,286122u,page3,38.0,2,1
20257,286122u,page2,21.6666666667,3,3
20258,286122u,page1,15.3333333333,6,3
20259,286122u,page4,14.0,1,1
20260,258377u,page1,2.0,1,1
20261,20897u,page1,6.0,2,2
20262,268506u,page3,17.0,2,1
20263,268506u,page1,14.0,1,1
20264,268506u,page2,9.0,1,1
20265,268506u,page4,7.0,1,1
20266,168911u,page1,8.0,2,1
20267,195373u,page1,347.5,2,1
20268,195373u,page2,82.0,1,1
20269,56932u,page4,34.0,1,1
20270,56932u,page1,11.0,1,1
20271,56932u,page2,9.0,2,1
20272,56932u,page3,9.0,1,1
20273,19528u,page1,71.0,2,2
20274,19528u,page3,10.5,2,1
20275,19528u,page2,6.0,1,1
20276,19528u,page4,5.0,1,1
20277,147741u,page1,1.0,1,1
20278,17976u,page1,15.0,1,1
20279,37218u,page1,86.0,1,1
20280,45019u,page1,2.0,1,1
20281,210725u,page1,2.0,1,1
