identificador,ssoo,profundidad,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,avg_tiempo_pag4,vistas_pag4,vistas_unicas_pag4,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,Y
294495u,1,1,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,40,15,191.5,0.0,0.0,8.0,183.5,0
294503u,0,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,187,83,275.266666667,0.0,0.0,2.0,273.266666667,0
294516u,0,2,34.0,1,1,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,457,150,215.7,0.0,0.0,43.0,172.7,0
29451u,1,4,6.0,1,1,3.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,145,5878,1044,570.15862069,0.0,0.0,15.0,549.15862069,1
294527u,1,4,43.0,1,1,5.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,30,326,120,209.233333333,0.0,0.0,57.0,143.233333333,1
294542u,0,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,661,272,110.519480519,0.0,0.0,5.0,105.519480519,0
294554u,0,1,13.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,655,244,60.7142857143,0.0,0.0,13.5,47.2142857143,0
294559u,1,4,7.4,5,5,2.8,5.0,5.0,6.0,5.0,5.0,5.25,5.0,5.0,12,114,57,267.75,0.0,0.0,16.2,246.3,1
294567u,1,1,84.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,340,179,184.296296296,0.0,0.0,84.0,100.296296296,0
29456u,1,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,414,170,238.421052632,0.0,0.0,4.0,234.421052632,0
294596u,0,4,6.0,1,1,2.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,27,159,86,140.0,0.0,0.0,17.0,121.0,1
294629u,1,4,0.0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,45,301,133,117.088888889,0.0,0.0,0.0,117.088888889,1
294669u,1,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,70,34,56.8571428571,0.0,0.0,6.0,50.8571428571,0
294677u,0,1,25.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,490,180,288.513513514,0.0,0.0,25.0,263.513513514,0
294697u,0,4,38.0,1,1,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,37,593,272,184.945945946,0.0,0.0,47.0,135.945945946,1
294713u,1,4,10.0,1,1,11.0,1.0,1.0,12.0,1.0,1.0,8.0,1.0,1.0,94,1010,399,264.627659574,0.0,0.0,33.0,223.627659574,1
294718u,0,1,11.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,885,299,122.666666667,0.0,0.0,11.0,111.666666667,0
294725u,1,4,31.0,1,1,6.0,1.0,1.0,12.0,1.0,1.0,5.0,1.0,1.0,65,491,229,86.0923076923,0.0,0.0,49.0,32.0923076923,1
294728u,1,4,38.5,2,2,7.0,1.0,1.0,10.0,1.0,1.0,12.0,1.0,1.0,37,363,183,291.162162162,0.0,0.0,55.5,223.662162162,1
29472u,0,4,9.33333333333,3,3,2.66666666667,3.0,3.0,11.3333333333,3.0,3.0,4.33333333333,3.0,3.0,62,845,361,189.5,0.0,0.0,23.3333333333,161.833333333,1
294735u,1,2,3.5,4,1,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,229,80,292.666666667,0.0,0.0,8.5,284.166666667,0
29474u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,381,150,164.428571429,0.0,0.0,3.0,161.428571429,0
294780u,0,4,9.0,3,3,2.0,3.0,3.0,11.0,3.0,3.0,4.33333333333,3.0,3.0,120,1249,558,111.075,0.0,0.0,22.0,84.7416666667,1
294784u,1,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,221,112,22.4222222222,0.0,0.0,6.0,16.4222222222,0
294792u,0,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,513,188,77.0196078431,0.0,0.0,7.0,70.0196078431,0
294793u,0,4,19.25,4,4,8.0,1.0,1.0,21.0,1.0,1.0,11.0,1.0,1.0,36,520,208,201.5,0.0,0.0,48.25,142.25,1
294796u,1,4,10.4,5,2,12.5,2.0,2.0,8.0,1.0,1.0,15.0,1.0,1.0,56,397,182,49.6964285714,0.0,0.0,30.9,3.7964285714,1
294803u,1,1,74.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,561,228,222.604651163,0.0,0.0,74.0,148.604651163,0
294807u,1,1,17.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,714,296,201.526315789,0.0,0.0,17.0,184.526315789,0
294817u,2,4,7.0,6,3,9.0,2.0,2.0,7.0,1.0,1.0,5.0,1.0,1.0,53,568,218,192.018867925,0.0,0.0,23.0,164.018867925,1
294824u,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,168,63,363.05,0.0,0.0,1.0,362.05,0
294832u,1,4,8.0,1,1,5.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,129,1340,568,174.465116279,0.0,0.0,22.0,151.465116279,1
294843u,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,167,80,213.0,0.0,0.0,1.0,212.0,0
294845u,0,1,12.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,361,129,156.290322581,0.0,0.0,12.0,144.290322581,0
294847u,1,2,8.2,5,4,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76,476,243,349.631578947,0.0,0.0,26.2,323.431578947,0
294849u,1,2,5.6,5,1,15.6666666667,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,193,64,126.454545455,0.0,0.0,21.2666666667,105.187878788,0
294855u,0,4,18.5,2,2,8.5,2.0,2.0,12.0,2.0,2.0,2.5,2.0,2.0,42,276,159,116.666666667,0.0,0.0,39.0,75.166666667,1
294860u,0,4,10.0,1,1,6.0,1.0,1.0,12.0,1.0,1.0,7.0,1.0,1.0,26,311,105,213.615384615,0.0,0.0,28.0,178.615384615,1
294866u,0,4,8.0,2,2,1.0,2.0,2.0,8.0,2.0,2.0,1.5,2.0,2.0,63,761,316,243.619047619,0.0,0.0,17.0,225.119047619,1
294876u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,274,102,583.916666667,0.0,0.0,3.0,580.916666667,0
294905u,0,4,5.875,16,8,2.0,8.0,7.0,10.0,8.0,7.0,2.0,8.0,7.0,26,463,166,99.9230769231,0.0,0.0,17.875,80.0480769231,1
294907u,1,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,330,176,44.8,0.0,0.0,4.0,40.8,0
294915u,1,1,19.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,3,73.0,0.0,0.0,19.0,54.0,0
294916u,0,1,2.75,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,246,95,112.0,0.0,0.0,2.75,109.25,0
294923u,0,4,21.0,1,1,9.0,2.0,1.0,13.0,1.0,1.0,7.0,1.0,1.0,36,390,141,157.972222222,0.0,0.0,43.0,107.972222222,1
294945u,0,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,318,141,404.535714286,0.0,0.0,5.0,399.535714286,0
294949u,0,4,8.5,2,2,6.5,2.0,2.0,12.5,2.0,2.0,4.5,2.0,2.0,21,297,115,373.285714286,0.0,0.0,27.5,341.285714286,1
294965u,0,1,15.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,320,124,364.592592593,0.0,0.0,15.5,349.092592593,0
294992u,1,4,12.3333333333,3,2,12.6666666667,3.0,2.0,11.5,2.0,2.0,9.0,2.0,2.0,41,447,153,234.829268293,0.0,0.0,36.5,189.329268293,1
294999u,1,4,8.25,4,2,2.0,3.0,2.0,12.6666666667,3.0,1.0,11.0,1.0,1.0,13,169,69,149.0,1.0,0.0,22.9166666667,115.083333333,1
295006u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,165,64,131.133333333,0.0,0.0,3.0,128.133333333,0
295032u,1,4,17.0,5,2,5.0,2.0,1.0,12.5,2.0,1.0,12.0,1.0,1.0,35,411,155,373.228571429,0.0,0.0,34.5,326.728571429,1
295049u,1,1,10.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,433,111,303.282051282,0.0,0.0,10.0,293.282051282,0
295059u,1,4,64.5,6,3,7.75,4.0,3.0,19.3333333333,3.0,3.0,18.3333333333,3.0,3.0,112,913,351,248.973214286,0.0,0.0,91.5833333333,139.056547619,1
