identificador,ssoo,profundidad,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,avg_tiempo_pag4,vistas_pag4,vistas_unicas_pag4,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,Y
100016u,0,1,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,880,306,197.58,0.0,0.0,15.0,182.58,0
100018u,0,4,24.0,1,1,5.0,1.0,1.0,53.0,1.0,1.0,4.0,1.0,1.0,20,146,60,166.9,0.0,0.0,82.0,80.9,1
100026u,1,1,33.6666666667,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,502,213,199.625,0.0,0.0,33.6666666667,165.958333333,0
100027u,1,1,19.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,609,264,111.293478261,0.0,0.0,19.0,92.293478261,0
100036u,1,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,100,35,197.571428571,0.0,0.0,5.0,192.571428571,0
100048u,1,4,25.0,3,1,14.0,1.0,1.0,12.0,1.0,1.0,25.0,1.0,1.0,4,52,26,651.5,0.0,0.0,51.0,575.5,1
100058u,1,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,459,164,117.764705882,0.0,0.0,7.0,110.764705882,0
100061u,0,4,22.0,1,1,4.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,88,1571,336,154.488636364,0.0,0.0,35.0,117.488636364,1
100082u,1,4,15.8,5,3,10.6666666667,3.0,2.0,7.0,1.0,1.0,5.0,1.0,1.0,46,421,141,165.347826087,0.0,0.0,33.4666666667,126.88115942,1
100084u,1,1,4.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,297,132,65.9268292683,0.0,0.0,4.0,61.9268292683,0
100091u,1,4,16.5,2,2,6.0,2.0,2.0,28.5,2.0,2.0,6.0,2.0,2.0,24,278,114,325.416666667,0.0,0.0,51.0,268.416666667,1
100103u,1,4,59.0,1,1,13.0,1.0,1.0,81.0,1.0,1.0,4.0,1.0,1.0,100,438,247,107.0,0.0,0.0,153.0,-50.0,1
100113u,1,4,24.0,2,1,5.0,1.0,1.0,51.0,1.0,1.0,5.0,1.0,1.0,61,730,233,318.426229508,0.0,0.0,80.0,233.426229508,1
100116u,0,4,24.0,1,1,4.0,1.0,1.0,9.0,1.0,1.0,5.0,1.0,1.0,29,426,146,201.448275862,0.0,0.0,37.0,159.448275862,1
100122u,0,3,15.5,2,1,4.0,1.0,1.0,19.0,4.0,1.0,0.0,0.0,0.0,48,477,183,217.9375,0.0,0.0,38.5,179.4375,0
100151u,1,4,7.0,6,3,5.5,4.0,3.0,9.0,2.0,2.0,3.0,2.0,2.0,17,211,87,440.058823529,0.0,0.0,21.5,415.558823529,1
100161u,1,4,5.0,1,1,4.0,1.0,1.0,6.0,1.0,1.0,4.0,1.0,1.0,13,152,60,235.076923077,0.0,0.0,15.0,216.076923077,1
100182u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,90,39,123.357142857,0.0,0.0,3.0,120.357142857,0
100187u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,161,49,499.375,0.0,0.0,3.0,496.375,0
100193u,0,1,12.3333333333,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,237,98,94.96,0.0,0.0,12.3333333333,82.6266666667,0
100198u,1,4,16.0,1,1,10.0,1.0,1.0,14.0,1.0,1.0,13.0,1.0,1.0,73,420,194,57.5342465753,0.0,0.0,40.0,4.5342465753,1
100202u,1,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,188,111,193.142857143,0.0,0.0,6.0,187.142857143,0
100205u,1,4,6.5,20,14,4.0625,16.0,14.0,12.4375,16.0,14.0,9.86666666667,15.0,14.0,172,1320,538,359.343023256,1.0,0.0,23.0,326.476356589,1
100231u,1,4,5.5,2,1,6.5,2.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,201,1549,676,192.134328358,0.0,0.0,20.0,169.134328358,1
100238u,0,4,16.0,1,1,6.0,1.0,1.0,14.0,1.0,1.0,3.0,1.0,1.0,253,4803,1269,592.102766798,0.0,0.0,36.0,553.102766798,1
100242u,1,1,41.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,127,48,200.470588235,0.0,0.0,41.0,159.470588235,0
100246u,0,4,10.0,1,1,9.5,2.0,1.0,10.5,2.0,1.0,5.0,1.0,1.0,52,471,206,105.576923077,0.0,0.0,30.0,70.576923077,1
100252u,1,1,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,160,75,101.529411765,0.0,0.0,15.0,86.529411765,0
100257u,1,4,7.75,8,3,20.6666666667,3.0,2.0,28.0,1.0,1.0,23.0,1.0,1.0,60,459,164,229.066666667,0.0,0.0,56.4166666667,149.65,1
100258u,0,2,14.0,1,1,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79,547,274,74.0379746835,0.0,0.0,44.0,30.0379746835,0
100272u,0,4,6.5,2,1,6.0,1.0,1.0,14.0,1.0,1.0,8.0,1.0,1.0,10,100,58,159.4,0.0,0.0,26.5,124.9,1
100277u,1,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,386,139,161.652173913,0.0,0.0,4.0,157.652173913,0
10027u,0,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,441,183,178.84,0.0,0.0,3.0,175.84,0
100287u,0,4,9.33333333333,6,3,7.25,4.0,2.0,15.5454545455,11.0,3.0,43.0,3.0,3.0,29,336,110,231.137931034,0.0,0.0,32.1287878788,156.009143155,1
100299u,1,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,795,312,187.975,0.0,0.0,9.0,178.975,0
100301u,1,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,157,75,44.9130434783,0.0,0.0,2.0,42.9130434783,0
100313u,0,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,85,34,82.1,0.0,0.0,9.0,73.1,0
100317u,0,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,549,225,203.830188679,0.0,0.0,0.0,203.830188679,0
100327u,1,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,498,207,268.67816092,0.0,0.0,7.0,261.67816092,0
10033u,1,2,19.0,2,2,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73,417,189,160.232876712,0.0,0.0,60.0,100.232876712,0
100346u,0,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,136,53,193.0,0.0,0.0,2.0,191.0,0
100357u,0,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,378,163,216.12195122,0.0,0.0,6.0,210.12195122,0
100364u,0,4,11.0,1,1,4.0,1.0,1.0,10.0,1.0,1.0,5.0,1.0,1.0,15,160,80,336.666666667,0.0,0.0,25.0,306.666666667,1
100386u,1,1,3.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,549,239,219.260273973,0.0,0.0,3.0,216.260273973,0
100391u,1,1,18.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,270,138,168.653846154,0.0,0.0,18.0,150.653846154,0
100398u,1,4,9.0,1,1,6.0,1.0,1.0,10.0,1.0,1.0,11.0,1.0,1.0,33,336,127,92.9393939394,0.0,0.0,25.0,56.9393939394,1
100403u,1,1,14.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,308,99,175.347826087,0.0,0.0,14.0,161.347826087,0
100410u,1,4,2.0,2,2,1.0,2.0,2.0,3.5,2.0,2.0,2.5,2.0,2.0,67,639,300,221.880597015,0.0,0.0,6.5,212.880597015,1
100413u,1,4,17.0,2,2,5.0,2.0,2.0,7.5,2.0,2.0,6.5,2.0,2.0,64,548,227,95.390625,0.0,0.0,29.5,59.390625,1
100414u,1,2,3.5,2,1,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,102,562,274,87.5196078431,0.0,0.0,13.5,74.0196078431,0
10045u,0,1,7.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,534,239,74.4264705882,0.0,0.0,7.5,66.9264705882,0
100475u,0,4,16.0,1,1,3.0,1.0,1.0,12.0,1.0,1.0,5.0,1.0,1.0,63,647,243,160.0,0.0,0.0,31.0,124.0,1
100476u,0,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,232,81,105.0,0.0,0.0,0.0,105.0,0
100491u,1,1,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,206,96,72.3488372093,0.0,0.0,8.0,64.3488372093,0
100493u,1,1,14.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,327,159,73.4181818182,0.0,0.0,14.0,59.4181818182,0
100495u,0,1,7.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,619,271,172.571428571,0.0,0.0,7.0,165.571428571,0
10050u,1,1,55.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,282,102,421.0,0.0,0.0,55.0,366.0,0
100527u,1,4,47.0,1,1,6.0,1.0,1.0,11.0,1.0,1.0,6.0,1.0,1.0,1,16,9,1689.0,0.0,0.0,64.0,1619.0,1
100536u,1,2,3.0,2,1,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49,473,211,80.0408163265,0.0,0.0,8.0,72.0408163265,0
100542u,1,1,19.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,156,87,49.9230769231,0.0,0.0,19.0,30.9230769231,0
100578u,1,4,9.41666666667,12,3,9.42857142857,7.0,3.0,32.4,5.0,3.0,6.0,1.0,1.0,49,902,210,341.775510204,0.0,0.0,51.2452380952,284.530272109,1
10057u,1,2,13.8,5,3,10.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,97,785,331,153.701030928,0.0,0.0,24.3,129.401030928,0
100596u,1,4,21.1666666667,6,6,4.16666666667,6.0,6.0,11.3333333333,6.0,6.0,6.66666666667,6.0,6.0,23,412,152,412.47826087,0.0,0.0,36.6666666667,369.144927537,1
100598u,0,1,10.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1376,413,207.510869565,0.0,0.0,10.0,197.510869565,0
100617u,1,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,408,151,260.777777778,0.0,0.0,5.0,255.777777778,0
100641u,0,1,13.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,197,62,177.692307692,0.0,0.0,13.0,164.692307692,0
100645u,0,3,28.2,5,3,7.5,2.0,1.0,41.0,2.0,1.0,0.0,0.0,0.0,43,500,187,232.581395349,0.0,0.0,76.7,155.881395349,0
100656u,1,4,12.0,1,1,4.0,1.0,1.0,19.0,1.0,1.0,17.0,1.0,1.0,20,183,73,262.05,0.0,0.0,35.0,210.05,1
100662u,0,4,6.0,11,5,3.0,2.0,1.0,10.0,2.0,1.0,2.0,2.0,1.0,79,645,287,183.873417722,0.0,0.0,19.0,162.873417722,1
100675u,0,4,7.66666666667,3,3,9.66666666667,3.0,3.0,10.0,5.0,3.0,7.33333333333,3.0,3.0,63,474,222,160.841269841,0.0,0.0,27.3333333333,126.174603174,1
100679u,0,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,336,113,357.55,0.0,0.0,4.0,353.55,0
100688u,1,4,22.0,1,1,5.0,1.0,1.0,15.0,1.0,1.0,10.0,1.0,1.0,8,156,54,210.25,0.0,0.0,42.0,158.25,1
100701u,0,2,16.0,1,1,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,106,54,54.35,0.0,0.0,34.0,20.35,0
100717u,0,4,19.6666666667,3,3,11.75,4.0,3.0,10.3333333333,3.0,3.0,6.0,3.0,3.0,75,526,237,65.84,0.0,0.0,41.75,18.09,1
100739u,0,1,8.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,806,306,109.93814433,0.0,0.0,8.0,101.93814433,0
100740u,1,4,10.0,3,3,1.0,2.0,2.0,3.0,2.0,2.0,1.5,2.0,2.0,57,650,227,260.228070175,0.0,0.0,14.0,244.728070175,1
10075u,0,4,91.0,1,1,5.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,44,478,187,81.5227272727,0.0,0.0,102.0,-22.4772727273,1
100762u,1,1,41.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,804,230,591.04,0.0,0.0,41.0,550.04,0
100777u,1,4,5.33333333333,3,1,4.0,2.0,1.0,13.0,1.0,1.0,5.0,1.0,1.0,26,222,99,212.884615385,0.0,0.0,22.3333333333,185.551282052,1
100804u,0,1,11.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,616,252,115.987804878,0.0,0.0,11.0,104.987804878,0
100826u,0,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,241,108,309.047619048,0.0,0.0,2.0,307.047619048,0
100844u,0,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,439,161,211.911764706,0.0,0.0,0.0,211.911764706,0
100847u,1,1,2.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,58,17,1221.5,0.0,0.0,2.5,1219.0,0
10084u,0,4,42.25,4,3,6.0,3.0,3.0,9.66666666667,3.0,3.0,3.33333333333,3.0,3.0,41,208,130,41.1219512195,0.0,0.0,57.9166666667,-20.1280487805,1
100861u,0,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,215,46,667.4,0.0,0.0,5.0,662.4,0
100877u,0,1,5.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,1071,477,136.229508197,0.0,0.0,5.5,130.729508197,0
100878u,1,4,9.0,1,1,4.0,1.0,1.0,10.0,1.0,1.0,8.0,1.0,1.0,24,221,113,116.291666667,0.0,0.0,23.0,85.291666667,1
100885u,0,4,12.5,2,1,5.0,2.0,1.0,16.25,4.0,1.0,7.0,2.0,1.0,33,321,118,106.363636364,0.0,0.0,33.75,65.613636364,1
100890u,1,2,3.5,4,1,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66,496,213,116.893939394,0.0,0.0,13.5,103.393939394,0
100891u,1,4,31.75,4,2,10.0,2.0,2.0,11.0,1.0,1.0,7.0,1.0,1.0,118,1351,512,319.338983051,0.0,0.0,52.75,259.588983051,1
100896u,0,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,240,87,217.1,0.0,0.0,4.0,213.1,0
100902u,1,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,736,319,130.048192771,0.0,0.0,0.0,130.048192771,0
100903u,1,1,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,1431,616,395.256830601,0.0,0.0,8.0,387.256830601,0
100919u,1,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,607,387,229.089285714,0.0,0.0,2.0,227.089285714,0
100926u,1,4,45.0,1,1,6.0,1.0,1.0,28.0,1.0,1.0,10.0,1.0,1.0,66,522,197,216.227272727,0.0,0.0,79.0,127.227272727,1
100938u,0,4,9.0,1,1,5.0,1.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,102,558,302,74.3137254902,0.0,0.0,22.0,49.3137254902,1
100944u,1,1,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,145,57,135.461538462,0.0,0.0,15.0,120.461538462,0
100951u,0,4,10.0,1,1,7.0,1.0,1.0,13.0,1.0,1.0,4.0,1.0,1.0,19,229,97,161.368421053,0.0,0.0,30.0,127.368421053,1
100960u,0,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,2381,853,220.186170213,0.0,0.0,4.0,216.186170213,0
100988u,0,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,804,307,140.160493827,0.0,0.0,9.0,131.160493827,0
100999u,0,4,8.0,1,1,2.0,1.0,1.0,9.0,1.0,1.0,3.0,1.0,1.0,18,195,95,109.555555556,0.0,0.0,19.0,87.555555556,1
101015u,1,1,10.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,778,370,75.45,0.0,0.0,10.5,64.95,0
101020u,0,4,16.0,7,6,6.5,6.0,5.0,16.375,8.0,5.0,11.3333333333,3.0,3.0,28,577,185,377.357142857,0.0,0.0,38.875,327.148809524,1
101022u,1,4,14.5,4,3,5.0,2.0,2.0,8.0,2.0,2.0,5.0,2.0,2.0,77,740,364,184.701298701,0.0,0.0,27.5,152.201298701,1
101023u,0,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,235,121,277.666666667,0.0,0.0,6.0,271.666666667,0
101024u,0,4,17.5,6,6,7.8,5.0,5.0,16.0,6.0,5.0,7.0,5.0,5.0,80,789,298,104.9,0.0,0.0,41.3,56.6,1
101064u,1,4,12.8571428571,7,3,9.0,2.0,1.0,8.0,1.0,1.0,7.0,1.0,1.0,26,260,83,215.538461538,0.0,0.0,29.8571428571,178.681318681,1
101068u,1,4,15.5,2,1,6.0,1.0,1.0,8.0,1.0,1.0,7.0,1.0,1.0,27,350,126,229.444444444,0.0,0.0,29.5,192.944444444,1
10106u,0,4,21.3333333333,3,3,9.33333333333,3.0,3.0,26.3333333333,3.0,3.0,5.66666666667,3.0,3.0,50,275,186,103.54,0.0,0.0,56.9999999999,40.8733333334,1
101070u,1,1,19.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,213,82,93.84,0.0,0.0,19.0,74.84,0
101083u,1,4,7.6,5,2,3.66666666667,3.0,2.0,8.0,3.0,2.0,3.5,2.0,2.0,35,615,251,169.314285714,0.0,0.0,19.2666666667,146.547619047,1
101100u,0,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,775,239,221.709090909,0.0,0.0,6.0,215.709090909,0
101101u,0,4,16.0,2,1,7.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,3,131,43,572.333333333,0.0,0.0,34.0,536.333333333,1
101122u,1,1,10.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,109,49,803.0,0.0,0.0,10.0,793.0,0
101128u,0,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,177,73,137.25,0.0,0.0,1.0,136.25,0
101131u,0,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,173,64,108.375,0.0,0.0,9.0,99.375,0
101141u,1,4,36.0,1,1,6.0,1.0,1.0,10.0,1.0,1.0,12.0,1.0,1.0,3,36,19,172.666666667,0.0,0.0,52.0,108.666666667,1
101160u,0,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,311,99,328.833333333,0.0,0.0,5.0,323.833333333,0
101162u,0,1,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,229,114,195.724137931,0.0,0.0,15.0,180.724137931,0
10116u,1,4,8.0,3,2,3.5,2.0,2.0,9.5,2.0,2.0,6.0,2.0,2.0,135,1418,570,147.466666667,0.0,0.0,21.0,120.466666667,1
101175u,0,4,4.0,1,1,2.0,1.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,21,243,105,147.0,0.0,0.0,16.0,129.0,1
101185u,0,1,22.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,808,341,94.3076923077,0.0,0.0,22.0,72.3076923077,0
101204u,1,4,11.3333333333,3,2,6.5,2.0,1.0,10.0,1.0,1.0,21.0,1.0,1.0,22,280,126,329.636363636,0.0,0.0,27.8333333333,280.803030303,1
101230u,1,4,6.5,2,2,2.0,1.0,1.0,8.0,1.0,1.0,7.0,1.0,1.0,38,309,136,54.6578947368,0.0,0.0,16.5,31.1578947368,1
101238u,1,4,8.0,3,1,4.5,2.0,1.0,11.6666666667,3.0,1.0,7.0,1.0,1.0,43,878,263,290.744186047,1.0,0.0,24.1666666667,259.57751938,1
101239u,1,4,11.8,10,6,7.0,6.0,6.0,15.5,2.0,2.0,4.5,2.0,2.0,102,897,406,155.588235294,0.0,0.0,34.3,116.788235294,1
101248u,0,4,16.6666666667,3,3,3.33333333333,3.0,3.0,17.5,4.0,3.0,3.66666666667,3.0,3.0,36,434,158,110.916666667,0.0,0.0,37.5,69.7500000003,1
101249u,1,4,5.5,2,1,5.5,2.0,1.0,13.0,1.0,1.0,5.0,1.0,1.0,43,256,155,50.0465116279,0.0,0.0,24.0,21.0465116279,1
101255u,1,1,1.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,667,253,162.214285714,0.0,0.0,1.5,160.714285714,0
101272u,0,1,2.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,1360,579,406.052173913,0.0,0.0,2.0,404.052173913,0
101282u,1,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,1134,470,327.555555556,0.0,0.0,6.0,321.555555556,0
101284u,0,1,19.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,242,70,581.454545455,0.0,0.0,19.0,562.454545455,0
101293u,0,1,19.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,647,280,139.835443038,0.0,0.0,19.0,120.835443038,0
101295u,1,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,862,284,252.833333333,0.0,0.0,0.0,252.833333333,0
101303u,1,1,25.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,665,312,65.6846846847,0.0,0.0,25.0,40.6846846847,0
101308u,0,4,9.75,4,1,6.5,2.0,1.0,24.0,1.0,1.0,6.0,1.0,1.0,31,503,172,262.35483871,0.0,0.0,40.25,216.10483871,1
101326u,1,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,243,111,175.409090909,0.0,0.0,2.0,173.409090909,0
101351u,1,4,6.0,2,2,6.0,1.0,1.0,10.0,1.0,1.0,7.0,1.0,1.0,83,601,280,80.0361445783,0.0,0.0,22.0,51.0361445783,1
101356u,1,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,536,194,118.796296296,0.0,0.0,2.0,116.796296296,0
101361u,1,4,8.0,2,1,5.5,2.0,1.0,16.0,2.0,1.0,12.0,2.0,1.0,3,36,15,153.666666667,0.0,0.0,29.5,112.166666667,1
101370u,1,2,7.33333333333,3,1,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,464,171,265.837209302,0.0,0.0,15.3333333333,250.503875969,0
101379u,1,1,55.3333333333,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,236,99,116.975,0.0,0.0,55.3333333333,61.6416666667,0
10137u,1,4,6.0,4,4,3.0,1.0,1.0,12.0,1.0,1.0,3.0,1.0,1.0,45,462,268,157.266666667,0.0,0.0,21.0,133.266666667,1
101412u,0,1,20.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,1848,718,182.555555556,0.0,0.0,20.5,162.055555556,0
101415u,0,4,24.3333333333,3,3,3.0,3.0,3.0,11.6666666667,3.0,3.0,4.66666666667,3.0,3.0,90,821,349,161.166666667,0.0,0.0,39.0,117.5,1
10143u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,199,68,168.0,0.0,0.0,3.0,165.0,0
101448u,1,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,47,17,158.8,0.0,0.0,3.0,155.8,0
10144u,1,4,7.66666666667,3,3,2.5,3.0,3.0,8.5,2.0,2.0,4.0,2.0,2.0,60,538,269,172.666666667,0.0,0.0,18.6666666667,150.0,1
101453u,0,1,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,177,58,172.363636364,0.0,0.0,15.0,157.363636364,0
101454u,1,1,24.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,1472,595,256.771604938,0.0,0.0,24.5,232.271604938,0
10145u,0,4,5.5,2,2,1.66666666667,3.0,2.0,5.5,2.0,2.0,2.5,2.0,2.0,89,528,277,98.202247191,0.0,0.0,12.6666666667,83.0355805243,1
101477u,0,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,480,192,212.833333333,0.0,0.0,9.0,203.833333333,0
1014u,1,4,5.0,1,1,4.0,1.0,1.0,6.0,1.0,1.0,5.0,1.0,1.0,12,175,68,220.75,0.0,0.0,15.0,200.75,1
101513u,0,4,9.0,1,1,2.0,1.0,1.0,10.0,1.0,1.0,18.0,1.0,1.0,11,91,51,99.1818181818,0.0,0.0,21.0,60.1818181818,1
101517u,0,4,10.5,4,3,5.0,1.0,1.0,15.0,1.0,1.0,8.0,1.0,1.0,33,435,178,241.090909091,0.0,0.0,30.5,202.590909091,1
101527u,0,4,34.5,2,2,5.0,1.0,1.0,14.0,1.0,1.0,5.0,1.0,1.0,57,391,198,109.807017544,0.0,0.0,53.5,51.307017544,1
101540u,1,1,5.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,410,194,158.3,0.0,0.0,5.0,153.3,0
101560u,1,1,20.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,578,238,177.214285714,0.0,0.0,20.0,157.214285714,0
101562u,1,4,12.0,13,9,6.45454545455,11.0,8.0,18.4444444444,9.0,7.0,8.77777777778,9.0,7.0,52,645,256,323.288461538,0.0,0.0,36.898989899,277.611693861,1
101564u,1,4,14.5,2,2,7.5,2.0,2.0,14.0,2.0,2.0,10.5,2.0,2.0,171,955,436,222.754385965,0.0,0.0,36.0,176.254385965,1
101566u,0,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,226,117,418.6,0.0,0.0,3.0,415.6,0
101567u,1,4,15.6666666667,3,3,8.33333333333,3.0,3.0,18.3333333333,3.0,3.0,7.33333333333,3.0,3.0,25,137,67,140.84,0.0,0.0,42.3333333333,91.1733333333,1
