,identificador,Sistema operativo,Usuarios
227,193787u,Mac OS,1
228,257976u,Mac OS,1
229,127905u,Mac OS,1
230,51604u,Windows OS,1
231,40502u,Windows OS,1
232,107305u,Windows OS,1
233,196237u,Windows OS,1
234,144985u,Mac OS,1
235,286418u,Windows OS,1
236,121517u,Windows OS,1
237,50143u,Windows OS,1
238,174341u,Windows OS,1
239,80444u,Windows OS,1
240,219212u,Windows OS,1
241,136451u,Windows OS,1
242,223076u,Windows OS,1
243,67188u,Windows OS,1
244,73494u,Mac OS,1
245,36900u,Windows OS,1
246,128328u,Windows OS,1
247,29605u,Windows OS,1
248,265297u,Mac OS,1
249,231319u,Mac OS,1
250,186190u,Mac OS,1
251,74550u,Mac OS,1
252,13743u,Windows OS,1
253,54100u,Windows OS,1
254,272073u,Windows OS,1
255,129622u,Mac OS,1
256,160035u,Mac OS,1
257,271465u,Windows OS,1
258,73941u,Mac OS,1
259,37847u,Windows OS,1
260,148275u,Windows OS,1
261,63971u,Windows OS,1
262,62320u,Windows OS,1
263,5122u,Windows OS,1
264,284543u,Mac OS,1
265,243994u,Mac OS,1
266,252997u,Mac OS,1
267,217265u,Windows OS,1
268,155376u,Windows OS,1
269,245680u,Mac OS,1
270,3740u,Mac OS,1
271,194314u,Windows OS,1
272,162405u,Windows OS,1
273,282902u,Windows OS,1
274,124291u,Windows OS,1
275,292571u,Windows OS,1
276,236310u,Mac OS,1
277,73467u,Mac OS,1
278,31749u,Mac OS,1
279,89895u,Windows OS,1
280,123766u,Mac OS,1
281,130412u,Windows OS,1
282,267502u,Mac OS,1
283,245991u,Windows OS,1
284,83323u,Windows OS,1
285,166427u,Mac OS,1
286,115271u,Mac OS,1
287,89874u,Mac OS,1
288,127891u,Mac OS,1
289,281790u,Windows OS,1
290,228008u,Mac OS,1
291,63838u,Mac OS,1
292,243355u,Mac OS,1
293,290174u,Windows OS,1
294,116942u,Mac OS,1
295,229621u,Mac OS,1
296,150596u,Windows OS,1
297,19596u,Windows OS,1
298,56111u,Windows OS,1
299,164960u,Windows OS,1
300,238519u,Windows OS,1
301,226701u,Windows OS,1
302,273445u,Windows OS,1
303,125361u,Mac OS,1
304,88529u,Windows OS,1
305,147556u,Windows OS,1
306,85088u,Windows OS,1
307,158668u,Windows OS,1
308,127325u,Mac OS,1
309,86915u,Windows OS,1
310,140320u,Windows OS,1
311,37808u,Mac OS,1
312,216362u,Windows OS,1
313,236434u,Mac OS,1
314,52602u,Mac OS,1
315,88883u,Windows OS,1
316,283293u,Windows OS,1
317,258603u,Windows OS,1
318,252141u,Windows OS,1
319,104217u,Windows OS,1
320,277762u,Mac OS,1
321,251652u,Windows OS,1
322,97616u,Mac OS,1
323,25098u,Mac OS,1
324,19840u,Mac OS,1
325,117185u,Windows OS,1
326,35625u,Windows OS,1
327,135602u,Windows OS,1
328,50383u,Windows OS,1
329,22711u,Windows OS,1
330,269745u,Windows OS,1
331,77966u,Windows OS,1
332,293605u,Windows OS,1
333,280187u,Windows OS,1
334,272738u,Windows OS,1
335,144485u,Mac OS,1
336,29217u,Windows OS,1
337,171024u,Windows OS,1
338,2890u,Windows OS,1
339,252142u,Windows OS,1
340,124704u,Mac OS,1
341,151480u,Windows OS,1
342,2055u,Windows OS,1
343,245331u,Windows OS,1
344,196384u,Mac OS,1
345,192043u,Mac OS,1
346,142436u,Windows OS,1
347,83044u,Windows OS,1
348,113888u,Windows OS,1
349,282492u,Mac OS,1
350,7973u,Windows OS,1
351,218535u,Windows OS,1
352,131995u,Windows OS,1
353,220594u,Windows OS,1
354,159464u,Windows OS,1
355,96045u,Windows OS,1
