,identificador,Sistema operativo,Usuarios
6987,198090u,Mac OS,1
6988,21091u,Windows OS,1
6989,216019u,Windows OS,1
6990,118020u,Mac OS,1
6991,61228u,Windows OS,1
6992,217255u,Mac OS,1
6993,110480u,Mac OS,1
6994,114461u,Windows OS,1
6995,168839u,Windows OS,1
6996,294817u,Windows OS,1
6997,294817u,Mac OS,1
6998,59687u,Mac OS,1
6999,73872u,Windows OS,1
7000,127043u,Windows OS,1
7001,182137u,Windows OS,1
7002,238765u,Windows OS,1
7003,122246u,Windows OS,1
7004,122246u,Mac OS,1
7005,280974u,Windows OS,1
7006,40787u,Windows OS,1
7007,274524u,Windows OS,1
7008,248494u,Windows OS,1
7009,64348u,Mac OS,1
7010,68227u,Mac OS,1
7011,19708u,Windows OS,1
7012,184193u,Mac OS,1
7013,249539u,Windows OS,1
7014,244134u,Windows OS,1
7015,136484u,Mac OS,1
7016,8346u,Windows OS,1
7017,45009u,Windows OS,1
7018,170617u,Windows OS,1
7019,234037u,Windows OS,1
7020,234037u,Mac OS,1
7021,8886u,Windows OS,1
7022,100890u,Windows OS,1
7023,76195u,Mac OS,1
7024,105974u,Mac OS,1
7025,161656u,Windows OS,1
7026,81398u,Windows OS,1
7027,2135u,Mac OS,1
7028,127655u,Windows OS,1
7029,292003u,Windows OS,1
7030,3821u,Windows OS,1
7031,172995u,Windows OS,1
7032,73896u,Mac OS,1
7033,57559u,Mac OS,1
7034,122169u,Mac OS,1
7035,146577u,Windows OS,1
7036,217749u,Windows OS,1
7037,78882u,Mac OS,1
7038,17666u,Mac OS,1
7039,285484u,Mac OS,1
7040,100391u,Windows OS,1
7041,143024u,Mac OS,1
7042,44444u,Mac OS,1
7043,179167u,Mac OS,1
7044,280750u,Windows OS,1
7045,134972u,Mac OS,1
7046,229960u,Mac OS,1
7047,299401u,Windows OS,1
7048,72567u,Windows OS,1
7049,207876u,Mac OS,1
7050,266339u,Windows OS,1
7051,155957u,Windows OS,1
7052,87820u,Mac OS,1
7053,281475u,Windows OS,1
7054,267857u,Mac OS,1
7055,187918u,Windows OS,1
7056,66251u,Windows OS,1
7057,260919u,Windows OS,1
7058,237485u,Mac OS,1
7059,71526u,Windows OS,1
7060,109081u,Windows OS,1
7061,246943u,Windows OS,1
7062,278837u,Windows OS,1
7063,286376u,Windows OS,1
7064,53764u,Windows OS,1
7065,260512u,Mac OS,1
7066,225641u,Windows OS,1
7067,284070u,Mac OS,1
7068,290217u,Mac OS,1
7069,176174u,Windows OS,1
7070,54781u,Mac OS,1
7071,213466u,Windows OS,1
7072,92836u,Mac OS,1
7073,38484u,Windows OS,1
7074,237815u,Mac OS,1
7075,96788u,Windows OS,1
7076,266994u,Windows OS,1
7077,205688u,Mac OS,1
7078,258748u,Mac OS,1
7079,85055u,Mac OS,1
7080,273605u,Mac OS,1
7081,138178u,Windows OS,1
7082,37732u,Windows OS,1
7083,280386u,Mac OS,1
7084,278693u,Mac OS,1
7085,75583u,Windows OS,1
7086,297142u,Windows OS,1
7087,248693u,Mac OS,1
7088,176093u,Windows OS,1
7089,220785u,Windows OS,1
7090,294697u,Mac OS,1
7091,184404u,Windows OS,1
7092,117731u,Windows OS,1
7093,110737u,Mac OS,1
7094,282148u,Mac OS,1
7095,117559u,Mac OS,1
7096,242397u,Windows OS,1
7097,64478u,Windows OS,1
7098,222532u,Mac OS,1
7099,146965u,Mac OS,1
7100,20527u,Mac OS,1
7101,161362u,Windows OS,1
7102,140928u,Windows OS,1
7103,60976u,Mac OS,1
7104,292623u,Mac OS,1
7105,141582u,Windows OS,1
7106,205821u,Windows OS,1
7107,8970u,Mac OS,1
7108,110945u,Mac OS,1
7109,243413u,Windows OS,1
7110,208443u,Windows OS,1
7111,87640u,Windows OS,1
7112,124454u,Mac OS,1
7113,281409u,Windows OS,1
7114,285708u,Windows OS,1
7115,226195u,Mac OS,1
7116,29221u,Mac OS,1
7117,167500u,Windows OS,1
7118,58374u,Mac OS,1
7119,84215u,Windows OS,1
7120,32201u,Mac OS,1
7121,275020u,Windows OS,1
7122,252523u,Mac OS,1
7123,201556u,Mac OS,1
7124,189455u,Mac OS,1
7125,59823u,Windows OS,1
7126,47294u,Mac OS,1
7127,16583u,Windows OS,1
7128,165817u,Mac OS,1
7129,179587u,Mac OS,1
7130,279495u,Mac OS,1
7131,207710u,Mac OS,1
7132,295310u,Mac OS,1
7133,33503u,Mac OS,1
7134,246162u,Windows OS,1
7135,216714u,Windows OS,1
7136,216714u,Mac OS,1
7137,6503u,Windows OS,1
7138,150406u,Windows OS,1
7139,37465u,Windows OS,1
7140,1173u,Windows OS,1
7141,1173u,Mac OS,1
7142,288549u,Windows OS,1
7143,76766u,Windows OS,1
7144,68077u,Mac OS,1
7145,127253u,Mac OS,1
7146,94141u,Windows OS,1
7147,158155u,Windows OS,1
7148,6603u,Windows OS,1
7149,288327u,Windows OS,1
7150,63181u,Mac OS,1
7151,41111u,Mac OS,1
7152,64699u,Mac OS,1
7153,298756u,Windows OS,1
7154,255473u,Windows OS,1
7155,198976u,Windows OS,1
7156,227525u,Mac OS,1
7157,262187u,Mac OS,1
7158,75390u,Windows OS,1
7159,147069u,Mac OS,1
7160,192970u,Windows OS,1
7161,216589u,Windows OS,1
7162,252143u,Windows OS,1
7163,143459u,Windows OS,1
7164,223835u,Mac OS,1
7165,135307u,Mac OS,1
7166,88862u,Windows OS,1
7167,89861u,Windows OS,1
7168,67244u,Windows OS,1
7169,283284u,Mac OS,1
7170,294218u,Windows OS,1
7171,236680u,Windows OS,1
7172,184759u,Mac OS,1
7173,119737u,Mac OS,1
7174,207342u,Mac OS,1
7175,257795u,Mac OS,1
7176,251675u,Windows OS,1
7177,69358u,Mac OS,1
7178,157233u,Mac OS,1
7179,14649u,Mac OS,1
7180,41391u,Mac OS,1
7181,228823u,Mac OS,1
7182,163226u,Mac OS,1
7183,940u,Mac OS,1
7184,85475u,Mac OS,1
7185,123133u,Windows OS,1
7186,242115u,Mac OS,1
7187,7684u,Windows OS,1
7188,232402u,Windows OS,1
7189,108398u,Mac OS,1
7190,146321u,Windows OS,1
7191,69804u,Mac OS,1
7192,168705u,Mac OS,1
7193,148257u,Mac OS,1
7194,298931u,Mac OS,1
7195,48909u,Mac OS,1
7196,193674u,Windows OS,1
7197,89908u,Windows OS,1
7198,143435u,Mac OS,1
7199,99741u,Windows OS,1
7200,109305u,Mac OS,1
7201,159343u,Windows OS,1
7202,22909u,Windows OS,1
7203,223634u,Mac OS,1
7204,261905u,Mac OS,1
7205,223478u,Windows OS,1
7206,53422u,Windows OS,1
7207,199204u,Mac OS,1
7208,153758u,Windows OS,1
7209,141654u,Windows OS,1
7210,273833u,Mac OS,1
7211,56464u,Windows OS,1
7212,98813u,Mac OS,1
7213,10450u,Windows OS,1
7214,259898u,Mac OS,1
7215,151617u,Windows OS,1
7216,144128u,Windows OS,1
7217,33325u,Mac OS,1
7218,114364u,Windows OS,1
7219,64408u,Mac OS,1
7220,220380u,Mac OS,1
7221,240826u,Mac OS,1
7222,217167u,Windows OS,1
7223,15029u,Windows OS,1
7224,224506u,Windows OS,1
7225,189859u,Windows OS,1
7226,187801u,Mac OS,1
7227,179463u,Windows OS,1
7228,4018u,Windows OS,1
7229,85189u,Windows OS,1
7230,177251u,Mac OS,1
7231,109294u,Windows OS,1
7232,279217u,Mac OS,1
7233,199849u,Windows OS,1
7234,109306u,Mac OS,1
7235,97075u,Windows OS,1
7236,287129u,Windows OS,1
7237,202983u,Mac OS,1
7238,236923u,Windows OS,1
7239,12258u,Windows OS,1
7240,98759u,Windows OS,1
7241,257646u,Mac OS,1
7242,166519u,Mac OS,1
7243,208901u,Windows OS,1
7244,298608u,Mac OS,1
7245,143548u,Windows OS,1
7246,109968u,Windows OS,1
7247,168346u,Mac OS,1
7248,257511u,Mac OS,1
7249,23338u,Windows OS,1
7250,10027u,Mac OS,1
7251,294228u,Mac OS,1
7252,256193u,Mac OS,1
7253,73710u,Mac OS,1
7254,18600u,Windows OS,1
7255,172838u,Mac OS,1
7256,263009u,Windows OS,1
7257,16531u,Mac OS,1
7258,94462u,Windows OS,1
7259,102133u,Windows OS,1
7260,272375u,Mac OS,1
7261,294373u,Windows OS,1
7262,17544u,Windows OS,1
7263,48408u,Windows OS,1
7264,195117u,Mac OS,1
7265,146048u,Windows OS,1
7266,122328u,Windows OS,1
7267,31983u,Windows OS,1
7268,83455u,Mac OS,1
7269,276423u,Windows OS,1
7270,16283u,Windows OS,1
7271,282540u,Mac OS,1
7272,243631u,Mac OS,1
7273,236209u,Mac OS,1
7274,47365u,Windows OS,1
7275,153348u,Windows OS,1
7276,284510u,Mac OS,1
7277,101874u,Windows OS,1
7278,160656u,Windows OS,1
7279,243588u,Mac OS,1
7280,292495u,Mac OS,1
7281,29558u,Mac OS,1
7282,179870u,Windows OS,1
7283,8080u,Windows OS,1
7284,69146u,Windows OS,1
7285,88910u,Windows OS,1
7286,298921u,Mac OS,1
7287,60780u,Windows OS,1
7288,231257u,Mac OS,1
7289,266265u,Windows OS,1
7290,254720u,Windows OS,1
7291,17654u,Windows OS,1
7292,86142u,Mac OS,1
7293,279211u,Windows OS,1
7294,99276u,Windows OS,1
7295,40738u,Mac OS,1
7296,96454u,Mac OS,1
7297,218080u,Mac OS,1
7298,241913u,Mac OS,1
7299,127814u,Mac OS,1
7300,136196u,Windows OS,1
7301,192622u,Mac OS,1
7302,47372u,Windows OS,1
7303,105744u,Mac OS,1
7304,90093u,Mac OS,1
7305,84957u,Mac OS,1
7306,142546u,Windows OS,1
7307,178479u,Mac OS,1
7308,121168u,Mac OS,1
7309,48871u,Windows OS,1
7310,283429u,Windows OS,1
7311,232049u,Mac OS,1
7312,29057u,Windows OS,1
7313,133024u,Mac OS,1
7314,275830u,Mac OS,1
7315,180932u,Windows OS,1
7316,252168u,Mac OS,1
7317,118859u,Mac OS,1
7318,85967u,Mac OS,1
7319,66669u,Mac OS,1
7320,128851u,Mac OS,1
7321,249761u,Windows OS,1
7322,210644u,Windows OS,1
7323,114059u,Windows OS,1
7324,25794u,Mac OS,1
7325,7623u,Mac OS,1
7326,201970u,Mac OS,1
7327,250040u,Windows OS,1
7328,104457u,Windows OS,1
7329,283368u,Windows OS,1
7330,210551u,Windows OS,1
7331,174876u,Windows OS,1
7332,56007u,Windows OS,1
7333,186479u,Mac OS,1
7334,243577u,Windows OS,1
7335,243577u,Mac OS,1
7336,195275u,Mac OS,1
7337,43962u,Windows OS,1
7338,22346u,Windows OS,1
7339,230005u,Windows OS,1
7340,204365u,Windows OS,1
7341,112575u,Mac OS,1
7342,160278u,Mac OS,1
7343,259583u,Windows OS,1
7344,55327u,Windows OS,1
7345,285649u,Windows OS,1
7346,263607u,Windows OS,1
7347,130939u,Mac OS,1
7348,62135u,Mac OS,1
7349,260878u,Mac OS,1
7350,29079u,Windows OS,1
7351,193754u,Mac OS,1
7352,23047u,Windows OS,1
7353,135054u,Windows OS,1
7354,136668u,Windows OS,1
7355,26475u,Windows OS,1
7356,95491u,Windows OS,1
7357,67799u,Windows OS,1
7358,208807u,Windows OS,1
7359,240266u,Mac OS,1
7360,16532u,Windows OS,1
7361,273618u,Mac OS,1
7362,164779u,Windows OS,1
7363,223918u,Windows OS,1
7364,254612u,Windows OS,1
7365,36691u,Mac OS,1
7366,102843u,Mac OS,1
7367,235961u,Windows OS,1
7368,141782u,Windows OS,1
7369,266353u,Mac OS,1
7370,198539u,Mac OS,1
7371,15044u,Windows OS,1
7372,39058u,Mac OS,1
7373,120020u,Mac OS,1
7374,183450u,Mac OS,1
7375,276795u,Mac OS,1
7376,115007u,Windows OS,1
7377,166925u,Windows OS,1
7378,134246u,Windows OS,1
7379,142901u,Windows OS,1
7380,276465u,Mac OS,1
7381,233496u,Mac OS,1
7382,61988u,Mac OS,1
7383,152924u,Windows OS,1
7384,249649u,Windows OS,1
7385,249649u,Mac OS,1
7386,283381u,Mac OS,1
7387,103730u,Windows OS,1
7388,297819u,Windows OS,1
7389,212374u,Windows OS,1
7390,107060u,Windows OS,1
7391,116610u,Mac OS,1
7392,257079u,Windows OS,1
7393,113938u,Windows OS,1
7394,83056u,Windows OS,1
7395,159498u,Mac OS,1
7396,71945u,Mac OS,1
7397,233658u,Windows OS,1
7398,133616u,Windows OS,1
7399,146917u,Windows OS,1
7400,18334u,Mac OS,1
7401,250128u,Mac OS,1
7402,212189u,Windows OS,1
7403,258668u,Windows OS,1
7404,70914u,Mac OS,1
7405,150953u,Windows OS,1
7406,16123u,Mac OS,1
7407,275728u,Windows OS,1
7408,258662u,Mac OS,1
7409,213826u,Mac OS,1
7410,101160u,Mac OS,1
7411,126537u,Windows OS,1
7412,6939u,Mac OS,1
7413,139707u,Windows OS,1
7414,265706u,Windows OS,1
7415,266385u,Windows OS,1
7416,8751u,Mac OS,1
7417,85325u,Windows OS,1
7418,131974u,Windows OS,1
7419,11025u,Mac OS,1
7420,37635u,Mac OS,1
7421,173656u,Windows OS,1
7422,266207u,Mac OS,1
7423,4411u,Windows OS,1
7424,170422u,Windows OS,1
7425,109127u,Windows OS,1
7426,13969u,Windows OS,1
7427,7825u,Windows OS,1
7428,217485u,Mac OS,1
7429,144528u,Windows OS,1
7430,11554u,Windows OS,1
7431,3616u,Mac OS,1
7432,296941u,Windows OS,1
7433,77243u,Windows OS,1
7434,14368u,Windows OS,1
7435,75291u,Mac OS,1
7436,171002u,Mac OS,1
7437,54399u,Mac OS,1
7438,33840u,Windows OS,1
7439,141279u,Windows OS,1
7440,103917u,Windows OS,1
7441,259549u,Mac OS,1
7442,5776u,Windows OS,1
7443,8598u,Mac OS,1
7444,249870u,Mac OS,1
7445,239866u,Windows OS,1
7446,290059u,Windows OS,1
7447,28550u,Mac OS,1
7448,120610u,Windows OS,1
7449,189u,Windows OS,1
7450,24969u,Windows OS,1
7451,208096u,Windows OS,1
7452,178915u,Windows OS,1
7453,18501u,Windows OS,1
7454,297315u,Windows OS,1
7455,46218u,Windows OS,1
7456,63893u,Windows OS,1
7457,218961u,Windows OS,1
7458,110869u,Windows OS,1
7459,216719u,Mac OS,1
7460,89995u,Windows OS,1
7461,255984u,Mac OS,1
7462,61641u,Windows OS,1
7463,198834u,Mac OS,1
7464,146326u,Windows OS,1
7465,39103u,Mac OS,1
7466,192800u,Windows OS,1
7467,288763u,Windows OS,1
7468,158772u,Mac OS,1
7469,206593u,Windows OS,1
7470,120225u,Windows OS,1
7471,48051u,Mac OS,1
7472,242497u,Windows OS,1
7473,276338u,Windows OS,1
7474,257541u,Windows OS,1
7475,88313u,Mac OS,1
7476,262908u,Mac OS,1
7477,265348u,Windows OS,1
7478,135823u,Mac OS,1
7479,180778u,Windows OS,1
7480,116680u,Windows OS,1
7481,241023u,Windows OS,1
7482,118986u,Windows OS,1
7483,61912u,Mac OS,1
7484,227097u,Windows OS,1
7485,119301u,Mac OS,1
7486,1863u,Mac OS,1
7487,136536u,Windows OS,1
7488,288192u,Mac OS,1
7489,75598u,Windows OS,1
7490,116460u,Windows OS,1
7491,286108u,Windows OS,1
7492,260402u,Mac OS,1
7493,42540u,Windows OS,1
7494,214820u,Windows OS,1
7495,216528u,Windows OS,1
7496,26004u,Windows OS,1
7497,254705u,Windows OS,1
7498,152499u,Mac OS,1
7499,24210u,Windows OS,1
7500,45706u,Mac OS,1
7501,201122u,Mac OS,1
7502,39197u,Windows OS,1
7503,120863u,Windows OS,1
7504,50887u,Windows OS,1
7505,130034u,Windows OS,1
7506,165732u,Mac OS,1
7507,181121u,Windows OS,1
7508,56879u,Windows OS,1
7509,166630u,Windows OS,1
7510,208427u,Windows OS,1
7511,72807u,Windows OS,1
7512,164667u,Mac OS,1
7513,40843u,Windows OS,1
7514,193612u,Windows OS,1
7515,181648u,Windows OS,1
7516,168008u,Windows OS,1
7517,60875u,Windows OS,1
7518,46877u,Windows OS,1
7519,229239u,Mac OS,1
7520,215842u,Windows OS,1
7521,46478u,Windows OS,1
7522,21453u,Windows OS,1
7523,251275u,Mac OS,1
7524,244229u,Windows OS,1
7525,250538u,Windows OS,1
7526,37690u,Windows OS,1
7527,274105u,Windows OS,1
7528,230569u,Mac OS,1
7529,191860u,Windows OS,1
7530,193077u,Windows OS,1
7531,11974u,Windows OS,1
7532,75205u,Windows OS,1
7533,269473u,Mac OS,1
7534,198875u,Windows OS,1
7535,91753u,Windows OS,1
7536,100777u,Windows OS,1
7537,276685u,Mac OS,1
7538,54324u,Mac OS,1
7539,198831u,Windows OS,1
7540,161909u,Windows OS,1
7541,277324u,Mac OS,1
7542,161109u,Windows OS,1
7543,150502u,Windows OS,1
7544,125001u,Mac OS,1
7545,200832u,Mac OS,1
7546,234137u,Windows OS,1
7547,228932u,Mac OS,1
7548,206846u,Windows OS,1
7549,55835u,Mac OS,1
7550,212249u,Windows OS,1
7551,258937u,Windows OS,1
7552,295981u,Windows OS,1
7553,73577u,Windows OS,1
7554,199555u,Mac OS,1
7555,183132u,Windows OS,1
7556,174313u,Windows OS,1
7557,68964u,Windows OS,1
7558,174326u,Windows OS,1
7559,219234u,Windows OS,1
7560,253577u,Windows OS,1
7561,129928u,Windows OS,1
7562,258504u,Windows OS,1
7563,205168u,Windows OS,1
7564,81692u,Windows OS,1
7565,61999u,Mac OS,1
7566,190205u,Mac OS,1
7567,21773u,Windows OS,1
7568,253324u,Windows OS,1
7569,6301u,Windows OS,1
7570,78901u,Windows OS,1
7571,150200u,Windows OS,1
7572,6867u,Windows OS,1
7573,226682u,Mac OS,1
7574,139728u,Windows OS,1
7575,145399u,Mac OS,1
7576,299871u,Windows OS,1
7577,148948u,Windows OS,1
7578,77130u,Mac OS,1
7579,115607u,Mac OS,1
7580,99271u,Windows OS,1
7581,64982u,Windows OS,1
7582,105875u,Windows OS,1
7583,53152u,Mac OS,1
7584,201407u,Windows OS,1
7585,238682u,Mac OS,1
7586,41203u,Mac OS,1
7587,171225u,Windows OS,1
7588,23144u,Windows OS,1
7589,22251u,Windows OS,1
7590,251461u,Windows OS,1
7591,37751u,Mac OS,1
7592,124229u,Windows OS,1
7593,196356u,Windows OS,1
7594,95282u,Mac OS,1
7595,210631u,Windows OS,1
7596,261566u,Mac OS,1
7597,145115u,Mac OS,1
7598,29168u,Windows OS,1
7599,186841u,Mac OS,1
7600,134325u,Windows OS,1
7601,243861u,Mac OS,1
7602,104642u,Windows OS,1
7603,139899u,Windows OS,1
7604,152119u,Mac OS,1
7605,134305u,Windows OS,1
7606,293181u,Windows OS,1
7607,211554u,Windows OS,1
7608,30709u,Windows OS,1
7609,15231u,Windows OS,1
7610,216951u,Mac OS,1
7611,143942u,Windows OS,1
7612,7097u,Windows OS,1
7613,286918u,Mac OS,1
7614,10447u,Windows OS,1
7615,279880u,Windows OS,1
7616,80818u,Windows OS,1
7617,203152u,Windows OS,1
7618,257825u,Mac OS,1
7619,89741u,Windows OS,1
7620,33572u,Windows OS,1
7621,51800u,Windows OS,1
7622,71840u,Mac OS,1
7623,51248u,Windows OS,1
7624,92312u,Windows OS,1
7625,294333u,Mac OS,1
7626,29288u,Mac OS,1
7627,71943u,Mac OS,1
7628,160809u,Windows OS,1
7629,249597u,Mac OS,1
7630,163456u,Mac OS,1
7631,248353u,Mac OS,1
7632,132987u,Windows OS,1
7633,86145u,Mac OS,1
7634,141764u,Windows OS,1
7635,156494u,Windows OS,1
7636,3462u,Windows OS,1
7637,119050u,Windows OS,1
7638,9970u,Windows OS,1
7639,219597u,Windows OS,1
7640,136540u,Windows OS,1
7641,231215u,Windows OS,1
7642,73267u,Windows OS,1
7643,45551u,Windows OS,1
7644,226145u,Windows OS,1
7645,210065u,Mac OS,1
7646,155246u,Windows OS,1
7647,156578u,Mac OS,1
7648,146977u,Windows OS,1
7649,214174u,Windows OS,1
7650,173396u,Windows OS,1
7651,85997u,Windows OS,1
7652,167783u,Mac OS,1
7653,42842u,Mac OS,1
7654,141566u,Windows OS,1
7655,136281u,Mac OS,1
7656,78359u,Mac OS,1
7657,156411u,Windows OS,1
7658,254982u,Mac OS,1
7659,121913u,Mac OS,1
7660,227780u,Windows OS,1
7661,33630u,Windows OS,1
7662,32957u,Windows OS,1
7663,45619u,Windows OS,1
7664,1268u,Mac OS,1
7665,75362u,Mac OS,1
7666,174143u,Mac OS,1
7667,174597u,Windows OS,1
7668,63641u,Mac OS,1
7669,71411u,Mac OS,1
7670,209783u,Mac OS,1
7671,186721u,Mac OS,1
7672,240507u,Windows OS,1
7673,247368u,Mac OS,1
7674,237284u,Windows OS,1
7675,285836u,Windows OS,1
7676,226487u,Windows OS,1
7677,186140u,Windows OS,1
7678,14138u,Windows OS,1
7679,276384u,Windows OS,1
7680,242747u,Mac OS,1
7681,61948u,Windows OS,1
7682,292302u,Windows OS,1
7683,102451u,Windows OS,1
7684,279435u,Windows OS,1
7685,121620u,Windows OS,1
7686,162873u,Mac OS,1
7687,88327u,Windows OS,1
7688,186107u,Mac OS,1
7689,139455u,Mac OS,1
7690,90443u,Windows OS,1
7691,170981u,Mac OS,1
7692,212389u,Windows OS,1
7693,279902u,Windows OS,1
7694,162847u,Windows OS,1
7695,10045u,Mac OS,1
7696,83418u,Mac OS,1
7697,168646u,Mac OS,1
7698,111073u,Mac OS,1
7699,125462u,Windows OS,1
7700,44575u,Windows OS,1
7701,284582u,Windows OS,1
7702,178709u,Mac OS,1
7703,152576u,Mac OS,1
7704,21891u,Windows OS,1
7705,101990u,Windows OS,1
7706,257108u,Windows OS,1
7707,70734u,Windows OS,1
7708,223218u,Mac OS,1
7709,203659u,Mac OS,1
7710,268705u,Mac OS,1
7711,160565u,Mac OS,1
7712,110258u,Windows OS,1
7713,279277u,Windows OS,1
7714,222061u,Mac OS,1
7715,10466u,Windows OS,1
7716,132818u,Windows OS,1
7717,254039u,Mac OS,1
7718,114322u,Mac OS,1
7719,163756u,Windows OS,1
7720,110061u,Mac OS,1
7721,237818u,Windows OS,1
7722,223397u,Windows OS,1
7723,79159u,Windows OS,1
7724,219502u,Mac OS,1
7725,82086u,Windows OS,1
7726,112565u,Windows OS,1
7727,99599u,Windows OS,1
7728,113719u,Windows OS,1
7729,81632u,Mac OS,1
7730,116121u,Mac OS,1
7731,139567u,Windows OS,1
7732,110862u,Windows OS,1
7733,261808u,Mac OS,1
7734,67897u,Windows OS,1
7735,141136u,Windows OS,1
7736,82922u,Windows OS,1
7737,83955u,Windows OS,1
7738,41827u,Windows OS,1
7739,124237u,Windows OS,1
7740,267316u,Windows OS,1
7741,252499u,Windows OS,1
7742,193694u,Windows OS,1
7743,196260u,Mac OS,1
7744,63754u,Mac OS,1
7745,284236u,Windows OS,1
7746,270608u,Mac OS,1
7747,61337u,Windows OS,1
7748,86816u,Mac OS,1
7749,288869u,Mac OS,1
7750,12772u,Mac OS,1
7751,47606u,Mac OS,1
7752,143222u,Mac OS,1
7753,23297u,Windows OS,1
7754,268326u,Windows OS,1
7755,228939u,Windows OS,1
7756,149139u,Mac OS,1
7757,248208u,Windows OS,1
7758,144037u,Mac OS,1
7759,72762u,Mac OS,1
7760,269611u,Mac OS,1
7761,24153u,Mac OS,1
7762,222291u,Mac OS,1
7763,209528u,Windows OS,1
7764,163186u,Mac OS,1
7765,264065u,Mac OS,1
7766,94502u,Windows OS,1
7767,230103u,Windows OS,1
7768,155649u,Mac OS,1
7769,85152u,Mac OS,1
7770,223659u,Mac OS,1
7771,195380u,Mac OS,1
7772,237504u,Windows OS,1
7773,25783u,Windows OS,1
7774,275573u,Windows OS,1
7775,145963u,Mac OS,1
7776,67865u,Windows OS,1
7777,150402u,Mac OS,1
7778,100299u,Windows OS,1
7779,200955u,Windows OS,1
7780,91128u,Windows OS,1
7781,226547u,Mac OS,1
7782,143560u,Mac OS,1
7783,144173u,Windows OS,1
7784,279439u,Mac OS,1
7785,258609u,Mac OS,1
7786,268889u,Windows OS,1
7787,277326u,Mac OS,1
7788,15409u,Mac OS,1
7789,215171u,Windows OS,1
7790,118585u,Windows OS,1
7791,6971u,Windows OS,1
7792,209695u,Windows OS,1
7793,40780u,Windows OS,1
7794,147145u,Mac OS,1
7795,276258u,Windows OS,1
7796,83872u,Windows OS,1
7797,277803u,Mac OS,1
7798,48349u,Windows OS,1
7799,219809u,Windows OS,1
7800,46538u,Mac OS,1
7801,241399u,Mac OS,1
7802,170231u,Mac OS,1
7803,194250u,Mac OS,1
7804,81042u,Windows OS,1
7805,146386u,Windows OS,1
7806,14998u,Windows OS,1
7807,227542u,Mac OS,1
7808,33006u,Windows OS,1
7809,147709u,Windows OS,1
7810,151395u,Windows OS,1
7811,186818u,Mac OS,1
7812,157730u,Mac OS,1
7813,10419u,Mac OS,1
7814,74900u,Windows OS,1
7815,22075u,Windows OS,1
7816,196441u,Windows OS,1
7817,25649u,Mac OS,1
7818,269366u,Windows OS,1
7819,75238u,Windows OS,1
7820,176903u,Mac OS,1
7821,183986u,Windows OS,1
7822,25361u,Windows OS,1
7823,33524u,Mac OS,1
7824,268650u,Mac OS,1
7825,178512u,Windows OS,1
7826,131561u,Mac OS,1
7827,96372u,Windows OS,1
7828,289455u,Mac OS,1
7829,155486u,Mac OS,1
7830,196374u,Windows OS,1
7831,104757u,Mac OS,1
7832,248060u,Windows OS,1
7833,32958u,Mac OS,1
7834,35013u,Mac OS,1
7835,174278u,Windows OS,1
7836,180890u,Windows OS,1
7837,517u,Mac OS,1
7838,136736u,Mac OS,1
7839,67657u,Windows OS,1
7840,190072u,Windows OS,1
7841,70878u,Windows OS,1
7842,88199u,Windows OS,1
7843,50937u,Mac OS,1
7844,67931u,Windows OS,1
7845,219471u,Windows OS,1
7846,155613u,Mac OS,1
7847,87023u,Mac OS,1
7848,240464u,Windows OS,1
7849,183974u,Windows OS,1
7850,258166u,Mac OS,1
7851,202345u,Windows OS,1
7852,79896u,Windows OS,1
7853,211105u,Windows OS,1
7854,288383u,Windows OS,1
7855,89415u,Windows OS,1
7856,10871u,Windows OS,1
7857,65259u,Windows OS,1
7858,205181u,Mac OS,1
7859,294735u,Windows OS,1
7860,16747u,Mac OS,1
7861,257253u,Windows OS,1
7862,269282u,Windows OS,1
7863,184820u,Windows OS,1
7864,232212u,Windows OS,1
7865,257438u,Windows OS,1
7866,186909u,Windows OS,1
7867,143101u,Mac OS,1
7868,263921u,Mac OS,1
7869,156787u,Windows OS,1
7870,161448u,Mac OS,1
7871,237097u,Windows OS,1
7872,26320u,Windows OS,1
7873,19088u,Windows OS,1
7874,617u,Mac OS,1
7875,133072u,Windows OS,1
7876,61731u,Mac OS,1
7877,159346u,Windows OS,1
7878,26422u,Windows OS,1
7879,56183u,Windows OS,1
7880,159741u,Mac OS,1
7881,221205u,Windows OS,1
7882,57150u,Mac OS,1
7883,124933u,Mac OS,1
7884,4517u,Windows OS,1
7885,249350u,Mac OS,1
7886,116976u,Windows OS,1
7887,157259u,Windows OS,1
7888,23131u,Windows OS,1
7889,126690u,Mac OS,1
7890,16807u,Mac OS,1
7891,283058u,Mac OS,1
7892,132636u,Windows OS,1
7893,7108u,Mac OS,1
7894,210962u,Mac OS,1
7895,97894u,Windows OS,1
7896,22657u,Windows OS,1
7897,71295u,Mac OS,1
7898,278496u,Mac OS,1
7899,17061u,Mac OS,1
7900,43521u,Mac OS,1
7901,161939u,Windows OS,1
7902,120799u,Mac OS,1
7903,191203u,Windows OS,1
7904,251199u,Windows OS,1
7905,56426u,Mac OS,1
7906,91458u,Mac OS,1
7907,219848u,Windows OS,1
7908,245084u,Mac OS,1
7909,110565u,Mac OS,1
7910,236613u,Windows OS,1
7911,106947u,Mac OS,1
7912,98526u,Windows OS,1
7913,275805u,Mac OS,1
7914,289485u,Mac OS,1
7915,68540u,Mac OS,1
7916,88576u,Windows OS,1
7917,188137u,Windows OS,1
7918,185194u,Windows OS,1
